pop1,pop2,k1,k2
0,1077,-1.00,10.30
0,1092,-1.00,9.10
0,966,-1.00,6.72
693,0,9.71,-1.00
706,0,12.69,-1.00
0,978,-1.00,6.36
777,0,7.67,-1.00
844,0,9.64,-1.00
0,1134,-1.00,8.39
0,946,-1.00,5.29
0,682,-1.00,12.26
1141,0,7.14,-1.00
0,796,-1.00,9.98
0,1206,-1.00,5.33
0,830,-1.00,7.74
745,0,9.97,-1.00
768,0,11.68,-1.00
0,929,-1.00,5.41
0,1230,-1.00,5.91
1047,0,6.45,-1.00
0,687,-1.00,7.73
602,0,8.87,-1.00
0,1366,-1.00,6.70
0,747,-1.00,6.24
1028,0,9.23,-1.00
0,420,-1.00,14.71
905,0,5.96,-1.00
1001,0,9.34,-1.00
999,0,7.04,-1.00
673,0,9.89,-1.00
684,0,9.38,-1.00
550,0,11.68,-1.00
0,781,-1.00,6.47
0,1117,-1.00,8.66
0,0,-1.00,-1.00
724,0,7.96,-1.00
0,0,-1.00,-1.00
765,0,5.56,-1.00
0,756,-1.00,6.48
819,0,8.21,-1.00
0,1347,-1.00,6.44
879,0,7.73,-1.00
912,0,4.67,-1.00
0,982,-1.00,8.43
666,0,9.65,-1.00
0,789,-1.00,6.00
1025,0,5.86,-1.00
974,0,6.51,-1.00
0,826,-1.00,7.68
28,0,15.50,-1.00
753,0,7.19,-1.00
719,0,9.08,-1.00
1188,0,8.09,-1.00
650,0,8.09,-1.00
824,0,6.79,-1.00
778,0,10.37,-1.00
0,0,-1.00,-1.00
0,883,-1.00,5.06
0,791,-1.00,8.53
1289,0,6.78,-1.00
0,528,-1.00,12.62
0,1252,-1.00,7.39
0,988,-1.00,9.49
943,0,7.07,-1.00
967,0,11.43,-1.00
0,675,-1.00,10.36
1086,0,8.41,-1.00
797,0,7.65,-1.00
669,0,10.43,-1.00
0,860,-1.00,6.21
1278,0,5.96,-1.00
784,0,5.94,-1.00
0,576,-1.00,12.23
1114,0,5.62,-1.00
0,1017,-1.00,7.09
0,1467,-1.00,6.12
1189,0,5.61,-1.00
0,1083,-1.00,12.88
831,0,8.46,-1.00
0,746,-1.00,10.03
608,0,10.69,-1.00
0,973,-1.00,7.69
1033,0,5.63,-1.00
1253,0,8.02,-1.00
0,297,-1.00,15.38
0,996,-1.00,8.91
1034,0,5.22,-1.00
0,654,-1.00,10.18
968,0,7.41,-1.00
0,782,-1.00,6.26
1156,0,7.52,-1.00
9,0,16.22,-1.00
1217,0,6.13,-1.00
0,0,-1.00,-1.00
0,737,-1.00,12.84
880,0,6.17,-1.00
0,844,-1.00,7.70
1069,0,6.79,-1.00
0,725,-1.00,8.76
0,0,-1.00,-1.00
728,0,7.06,-1.00
1004,0,6.26,-1.00
0,0,-1.00,-1.00
847,0,7.21,-1.00
710,0,7.24,-1.00
0,996,-1.00,8.20
1292,0,7.77,-1.00
804,0,4.51,-1.00
839,0,7.53,-1.00
965,0,8.81,-1.00
0,1201,-1.00,7.04
946,0,10.88,-1.00
755,0,8.19,-1.00
1265,0,5.45,-1.00
610,0,11.64,-1.00
1392,0,6.21,-1.00
0,876,-1.00,7.15
1256,0,7.76,-1.00
0,815,-1.00,10.64
865,0,6.02,-1.00
757,0,6.36,-1.00
893,0,9.10,-1.00
1405,0,5.79,-1.00
1148,0,5.58,-1.00
0,851,-1.00,7.48
672,0,8.14,-1.00
953,0,6.96,-1.00
