rep,k0,k1,k1-k0
177,9.053000,8.287000,-0.766001
178,8.923000,8.110000,-0.813001
179,8.920000,8.170000,-0.750000
180,9.020000,8.293000,-0.727000
181,8.832000,8.008000,-0.823999
182,9.068000,8.278000,-0.790000
183,8.830000,8.196000,-0.634000
184,8.859000,8.083000,-0.776000
185,9.049000,8.367000,-0.682000
186,8.754000,8.202000,-0.552000
187,9.118000,8.263000,-0.855000
188,9.087000,8.308000,-0.779000
189,9.023000,8.232000,-0.790999
190,8.812000,7.967000,-0.845000
191,8.867000,7.978000,-0.888999
192,9.034000,8.183000,-0.851001
193,9.128000,8.314000,-0.814000
194,9.042000,8.272000,-0.770000
195,8.928000,8.164000,-0.764001
196,8.947000,8.172000,-0.775000
197,8.852000,8.058000,-0.794001
198,9.125000,8.426000,-0.699000
199,8.854000,8.161000,-0.693000
200,8.883000,8.214000,-0.669001
201,9.013000,8.193000,-0.820000
202,9.175000,8.586000,-0.589000
203,8.954000,8.093000,-0.861000
204,8.981000,8.344000,-0.637000
205,9.008000,8.259000,-0.749001
206,8.833000,7.951000,-0.882000
207,9.057000,8.147000,-0.910000
208,8.868000,8.090000,-0.778000
209,9.069000,8.372000,-0.697001
210,9.046000,8.212000,-0.834000
211,8.942000,8.299000,-0.643001
212,8.994000,8.329000,-0.665000
213,8.999000,8.031000,-0.967999
214,8.854000,8.117000,-0.737000
215,9.034000,8.237000,-0.797000
216,8.975000,8.109000,-0.866000
217,8.984000,8.143000,-0.841001
218,9.008000,8.147000,-0.861000
219,8.884000,7.886000,-0.998000
220,8.921000,8.039000,-0.882000
221,9.047000,8.336000,-0.710999
222,9.042000,8.303000,-0.738999
223,8.934000,8.320000,-0.614000
224,9.127000,8.228000,-0.899000
225,8.996000,8.363000,-0.633000
226,9.072000,8.332000,-0.740000
227,9.106000,8.405000,-0.701000
228,9.142000,8.415000,-0.727000
229,8.839000,8.206000,-0.632999
230,9.121000,8.288000,-0.833000
231,9.046000,8.114000,-0.931999
232,8.943000,8.643000,-0.300000
233,8.903000,8.325000,-0.578000
234,8.919000,8.029000,-0.889999
235,9.104000,8.289000,-0.815001
236,8.758000,8.077000,-0.681001
237,9.059000,8.224000,-0.835000
238,9.052000,8.116000,-0.936000
239,8.888000,8.220000,-0.667999
240,9.190000,8.313000,-0.877000
241,8.961000,8.294000,-0.667001
242,8.937000,8.072000,-0.865001
243,9.070000,8.305000,-0.764999
244,8.982000,8.178000,-0.804000
245,8.901000,8.091000,-0.810000
246,9.092000,8.180000,-0.912000
247,8.985000,8.402000,-0.582999
248,9.034000,8.305000,-0.729000
249,8.943000,8.284000,-0.658999
250,9.038000,8.381000,-0.657001
251,8.984000,8.225000,-0.759000
252,9.025000,8.276000,-0.749000
253,8.839000,7.998000,-0.841000
254,9.095000,8.226000,-0.869000
255,8.983000,8.107000,-0.875999
256,9.026000,8.160000,-0.866000
257,8.911000,7.972000,-0.939000
258,8.840000,8.108000,-0.732000
259,8.932000,8.254000,-0.678000
260,9.010000,8.490000,-0.520000
261,8.970000,8.092000,-0.878000
262,8.973000,8.295000,-0.677999
263,9.003000,8.341000,-0.662001
264,9.010000,8.341000,-0.669001
265,8.986000,8.139000,-0.847000
266,8.988000,7.873000,-1.115000
267,8.947000,8.079000,-0.867999
268,9.099000,8.266000,-0.833000
269,8.860000,8.401000,-0.459000
270,8.972000,8.234000,-0.738000
271,9.086000,8.070000,-1.016001
272,9.131000,8.201000,-0.929999
273,9.062000,8.243000,-0.819000
274,9.070000,8.416000,-0.653999
275,8.994000,8.200000,-0.794001
276,9.092000,8.334000,-0.758000
277,9.035000,8.206000,-0.829000
278,9.123000,8.371000,-0.752000
279,8.972000,8.252000,-0.720000
280,9.081000,8.253000,-0.828000
281,8.814000,8.005000,-0.809000
282,8.993000,8.512000,-0.481000
283,8.991000,8.168000,-0.823000
284,9.028000,8.234000,-0.794000
285,8.976000,8.090000,-0.886000
286,9.104000,8.383000,-0.721000
287,8.971000,8.232000,-0.738999
288,8.908000,8.142000,-0.766000
289,9.236000,8.410000,-0.826000
290,8.839000,8.080000,-0.759000
291,8.968000,8.083000,-0.885000
292,9.028000,8.393000,-0.635000
293,8.801000,7.705000,-1.096000
294,9.074000,8.381000,-0.693001
295,8.931000,8.277000,-0.653999
296,8.989000,8.182000,-0.807000
297,9.097000,8.334000,-0.763000
298,8.965000,8.261000,-0.704000
299,9.031000,8.360000,-0.671000
300,8.917000,8.344000,-0.573000
301,9.061000,8.340000,-0.721000
302,8.934000,8.108000,-0.826000
303,8.991000,8.074000,-0.917000
304,9.057000,8.160000,-0.897000
305,9.063000,8.263000,-0.800000
306,8.993000,8.402000,-0.591000
307,8.912000,8.133000,-0.778999
308,8.989000,8.289000,-0.700001
309,9.074000,8.450000,-0.624001
310,8.813000,8.034000,-0.778999
311,9.121000,8.298000,-0.823000
312,8.901000,8.281000,-0.620000
313,8.971000,8.380000,-0.591000
314,8.963000,7.945000,-1.018000
315,9.080000,8.276000,-0.804000
316,9.043000,8.362000,-0.681000
317,8.917000,8.092000,-0.825000
318,9.022000,8.180000,-0.842000
319,9.115000,8.605000,-0.510000
320,8.907000,8.198000,-0.709000
321,9.004000,8.162000,-0.842000
322,9.167000,8.545000,-0.622000
323,9.061000,8.327000,-0.734000
324,9.022000,8.491000,-0.531000
325,9.063000,8.446000,-0.617000
326,9.042000,8.293000,-0.749000
327,8.948000,8.392000,-0.556000
328,9.024000,8.201000,-0.823000
329,8.885000,7.986000,-0.899000
330,9.128000,8.390000,-0.738000
331,8.947000,8.115000,-0.832000
332,9.166000,8.379000,-0.787001
333,9.095000,8.423000,-0.672000
334,8.949000,8.029000,-0.920000
335,9.151000,8.463000,-0.688000
336,9.042000,8.184000,-0.858000
337,9.062000,8.217000,-0.845000
338,8.965000,8.257000,-0.708000
339,9.046000,8.174000,-0.872000
340,8.987000,8.067000,-0.920000
341,8.984000,8.083000,-0.901000
342,8.981000,8.251000,-0.730000
343,8.877000,8.069000,-0.808000
344,9.080000,8.318000,-0.762000
345,9.029000,8.439000,-0.590000
346,8.958000,8.177000,-0.781000
347,9.038000,8.131000,-0.907001
348,8.932000,8.226000,-0.706000
349,9.094000,8.431000,-0.663000
350,8.957000,8.263000,-0.694000
351,8.947000,8.100000,-0.846999
352,9.206000,8.399000,-0.807000
353,8.917000,8.043000,-0.874000
354,9.075000,8.184000,-0.891000
355,8.967000,8.398000,-0.569000
356,9.057000,8.385000,-0.672000
357,8.794000,8.178000,-0.615999
358,9.075000,8.301000,-0.774000
359,9.084000,8.047000,-1.037000
360,8.999000,8.205000,-0.794000
361,9.052000,8.116000,-0.936000
362,9.004000,8.188000,-0.816000
363,8.979000,8.051000,-0.928000
364,9.041000,8.416000,-0.625000
365,9.026000,8.279000,-0.747000
366,9.009000,8.234000,-0.775000
367,8.902000,8.173000,-0.729000
368,9.121000,8.319000,-0.802000
369,9.113000,8.080000,-1.033000
370,8.986000,8.386000,-0.600000
371,9.069000,8.185000,-0.884000
372,9.172000,8.654000,-0.518000
373,9.011000,8.513000,-0.498000
374,9.129000,8.165000,-0.964000
375,9.000000,8.060000,-0.940000
376,8.919000,8.119000,-0.799999
377,9.190000,8.537000,-0.653000
378,9.051000,8.267000,-0.783999
379,9.136000,8.440000,-0.696000
380,9.016000,8.271000,-0.745000
381,9.031000,8.362000,-0.669000
382,8.986000,8.201000,-0.785000
383,8.986000,8.296000,-0.690001
384,8.985000,8.235000,-0.750000
385,8.989000,8.075000,-0.914001
386,8.988000,8.187000,-0.801000
387,8.961000,8.007000,-0.954000
388,8.900000,8.104000,-0.796000
389,9.017000,8.273000,-0.744000
390,8.965000,8.068000,-0.897000
391,8.829000,8.195000,-0.634001
392,9.107000,8.278000,-0.829000
393,9.135000,8.242000,-0.893001
394,8.992000,8.060000,-0.931999
395,9.142000,8.265000,-0.877000
396,8.982000,8.128000,-0.854000
397,9.071000,8.280000,-0.791000
398,9.046000,8.392000,-0.653999
399,9.143000,8.360000,-0.783000
400,9.059000,8.380000,-0.679000
401,9.034000,8.320000,-0.714001
402,9.188000,8.280000,-0.908000
403,9.097000,8.118000,-0.979000
404,8.853000,8.120000,-0.733000
405,9.018000,8.177000,-0.841000
406,8.954000,8.295000,-0.659000
407,8.972000,8.086000,-0.886000
408,8.918000,8.115000,-0.803000
409,9.074000,8.381000,-0.693001
410,8.910000,8.326000,-0.584000
411,9.076000,8.256000,-0.820001
412,8.982000,8.129000,-0.853001
413,8.993000,8.276000,-0.717000
414,8.956000,8.380000,-0.576000
415,8.870000,8.032000,-0.838000
416,8.971000,8.189000,-0.782000
417,9.093000,8.461000,-0.632000
418,8.990000,8.186000,-0.804000
419,9.029000,8.087000,-0.942000
420,8.885000,8.145000,-0.740000
421,8.992000,8.277000,-0.714999
422,8.908000,7.990000,-0.918000
423,9.059000,8.373000,-0.686000
424,9.045000,8.255000,-0.790000
425,8.998000,8.197000,-0.801001
426,8.817000,8.145000,-0.672000
427,9.067000,8.467000,-0.600000
428,8.937000,8.110000,-0.827001
429,8.969000,8.134000,-0.835000
430,9.068000,8.185000,-0.882999
431,9.018000,8.381000,-0.637000
432,8.966000,8.416000,-0.549999
433,8.962000,8.324000,-0.638000
434,8.905000,8.079000,-0.825999
435,8.949000,8.269000,-0.680000
436,8.897000,8.025000,-0.872001
437,9.061000,8.252000,-0.809000
438,9.034000,8.216000,-0.818001
439,9.194000,8.419000,-0.775001
440,8.921000,8.077000,-0.844000
441,9.106000,8.460000,-0.646000
442,8.943000,8.267000,-0.676000
443,9.034000,8.275000,-0.759001
444,9.094000,8.363000,-0.731000
445,8.992000,8.277000,-0.714999
446,8.812000,7.823000,-0.989000
447,8.979000,8.242000,-0.737000
448,8.921000,8.127000,-0.794000
449,9.049000,8.373000,-0.676000
450,8.936000,7.939000,-0.997000
451,8.895000,8.131000,-0.764001
452,8.896000,8.298000,-0.598000
453,8.850000,7.959000,-0.891000
454,8.988000,8.323000,-0.665000
455,9.016000,8.365000,-0.651000
456,8.909000,8.270000,-0.639000
457,8.991000,8.102000,-0.889000
458,8.923000,8.185000,-0.738000
459,8.900000,8.201000,-0.698999
460,9.240000,8.560000,-0.679999
461,8.880000,8.083000,-0.797000
462,8.993000,8.114000,-0.879000
463,8.963000,8.220000,-0.743000
464,9.001000,8.210000,-0.791000
465,9.043000,8.229000,-0.814000
466,8.960000,8.273000,-0.687000
467,9.015000,8.355000,-0.660001
468,9.024000,8.329000,-0.695000
469,9.045000,8.303000,-0.742000
470,9.205000,8.547000,-0.658000
471,9.023000,8.403000,-0.620000
472,9.111000,8.411000,-0.700000
473,8.925000,8.064000,-0.861000
474,9.183000,8.386000,-0.797000
475,9.070000,8.474000,-0.596000
476,8.947000,8.290000,-0.657000
477,9.049000,8.365000,-0.684000
478,9.132000,8.398000,-0.734000
479,8.981000,8.221000,-0.760000
480,8.832000,8.133000,-0.698999
481,9.194000,8.426000,-0.768001
482,8.911000,8.103000,-0.808001
483,9.039000,8.046000,-0.993000
484,8.989000,8.162000,-0.827001
485,9.058000,8.336000,-0.721999
486,8.942000,8.103000,-0.839001
487,9.162000,8.330000,-0.832000
488,9.107000,8.409000,-0.698000
489,8.977000,8.180000,-0.797000
490,8.937000,7.970000,-0.967000
491,8.957000,8.335000,-0.622000
492,8.870000,8.340000,-0.530000
493,8.885000,7.802000,-1.083000
494,9.052000,8.361000,-0.691000
495,8.963000,8.382000,-0.581000
496,8.916000,8.054000,-0.862000
497,8.906000,8.034000,-0.872000
498,8.918000,8.373000,-0.545000
499,8.928000,8.173000,-0.755000
500,9.023000,8.400000,-0.623000
501,8.934000,8.043000,-0.891000
502,8.987000,8.344000,-0.643001
503,9.067000,8.214000,-0.853001
504,8.918000,8.127000,-0.791000
505,8.983000,8.184000,-0.799000
506,8.938000,8.191000,-0.747000
507,9.056000,8.217000,-0.839000
508,8.960000,8.317000,-0.643000
509,8.867000,8.031000,-0.835999
510,9.040000,8.251000,-0.789000
511,8.888000,8.244000,-0.643999
512,9.070000,8.402000,-0.667999
513,9.086000,8.285000,-0.801001
514,9.132000,8.352000,-0.780000
515,8.901000,8.074000,-0.827000
516,9.055000,8.295000,-0.760000
517,8.983000,8.259000,-0.724000
518,8.943000,8.468000,-0.474999
519,8.910000,8.205000,-0.705000
520,9.090000,8.275000,-0.815001
521,8.964000,8.227000,-0.737000
522,9.065000,8.096000,-0.969000
523,8.950000,8.244000,-0.705999
524,9.126000,8.450000,-0.676001
525,8.947000,8.209000,-0.738000
526,9.008000,8.173000,-0.835000
527,9.183000,8.487000,-0.695999
528,8.913000,8.037000,-0.876000
529,9.073000,8.415000,-0.658000
530,8.897000,8.095000,-0.802000
531,8.943000,7.983000,-0.960000
532,9.024000,8.341000,-0.683001
533,9.026000,8.322000,-0.704000
534,8.790000,8.136000,-0.654000
535,9.086000,8.142000,-0.944000
536,9.023000,8.297000,-0.726000
537,9.031000,8.307000,-0.724000
538,8.980000,8.189000,-0.790999
539,9.091000,8.467000,-0.624000
540,8.851000,8.062000,-0.789000
541,8.850000,8.231000,-0.619000
542,8.915000,8.058000,-0.857000
543,8.973000,8.356000,-0.617000
544,9.021000,8.151000,-0.870000
545,9.081000,8.320000,-0.761001
546,9.162000,8.287000,-0.875000
547,8.943000,8.199000,-0.743999
548,8.963000,8.195000,-0.768001
549,8.905000,8.174000,-0.731000
550,8.957000,8.096000,-0.861000
551,8.965000,8.265000,-0.700000
552,8.879000,8.179000,-0.700000
553,8.838000,8.101000,-0.737000
554,9.122000,8.338000,-0.783999
555,8.927000,8.227000,-0.700000
556,9.093000,8.339000,-0.754001
557,8.945000,8.171000,-0.774000
558,8.962000,8.146000,-0.816000
559,9.089000,8.364000,-0.724999
560,8.861000,8.313000,-0.548000
