rep,k0,k1,k1-k0
1,8.051000,7.347000,-0.704000
2,8.141000,7.701000,-0.440000
3,8.012000,7.312000,-0.700000
4,8.018000,7.578000,-0.440000
5,8.096000,7.657000,-0.439000
6,7.937000,7.045000,-0.892000
7,7.919000,7.181000,-0.738000
8,7.854000,7.051000,-0.803000
9,8.019000,7.158000,-0.861000
10,7.912000,7.320000,-0.592000
11,8.122000,7.508000,-0.614000
12,7.981000,7.444000,-0.537000
13,8.056000,7.532000,-0.524000
14,8.221000,7.509000,-0.712000
15,8.006000,7.364000,-0.642000
16,8.103000,7.577000,-0.526000
17,8.026000,7.366000,-0.660000
18,7.957000,7.249000,-0.708000
19,8.084000,7.438000,-0.645999
20,8.170000,7.429000,-0.741000
21,8.055000,7.639000,-0.416000
22,8.067000,7.257000,-0.810000
23,8.064000,7.186000,-0.878000
24,8.247000,7.746000,-0.501000
25,7.937000,7.358000,-0.579000
26,7.986000,7.483000,-0.503000
27,8.011000,7.463000,-0.548000
28,7.971000,7.391000,-0.580000
29,7.981000,7.466000,-0.515000
30,7.936000,7.087000,-0.849000
31,8.110000,7.429000,-0.681000
32,8.088000,7.451000,-0.637000
33,8.095000,7.394000,-0.701000
34,8.032000,7.421000,-0.611000
35,7.935000,7.121000,-0.814000
36,8.023000,7.311000,-0.712000
37,7.954000,7.224000,-0.730000
38,7.820000,7.032000,-0.788000
39,8.126000,7.360000,-0.766000
40,7.916000,7.448000,-0.468000
41,7.953000,7.174000,-0.779000
42,8.038000,7.479000,-0.559000
43,8.163000,7.422000,-0.741000
44,8.023000,7.278000,-0.745000
45,7.935000,7.238000,-0.697000
46,7.920000,7.340000,-0.580000
47,7.864000,7.299000,-0.565000
48,7.911000,7.315000,-0.596000
49,7.915000,7.042000,-0.873000
50,8.009000,7.216000,-0.793000
51,8.010000,7.688000,-0.322000
52,7.945000,7.255000,-0.690000
53,7.932000,7.300000,-0.632000
54,8.046000,7.443000,-0.603000
55,7.993000,7.097000,-0.896000
56,8.139000,7.507000,-0.632000
57,8.089000,7.230000,-0.859000
58,7.982000,7.205000,-0.777000
59,8.099000,7.771000,-0.328000
60,7.964000,7.459000,-0.505000
61,7.954000,7.292000,-0.662000
62,7.964000,7.485000,-0.479000
63,8.094000,7.532000,-0.562000
64,8.247000,7.641000,-0.606000
65,7.965000,7.234000,-0.731000
66,7.991000,7.189000,-0.802000
67,8.001000,7.288000,-0.713000
68,8.014000,7.307000,-0.707000
69,7.961000,7.345000,-0.616000
70,7.856000,7.414000,-0.442000
71,8.018000,7.445000,-0.572999
72,8.115000,7.469000,-0.646000
