rep,k0,k1,k1-k0
1,7.055000,6.539000,-0.516000
2,6.907000,6.562000,-0.345000
3,7.142000,6.769000,-0.373000
4,7.067000,6.755000,-0.312000
5,6.987000,6.641000,-0.346000
6,6.974000,6.493000,-0.481000
7,7.057000,6.571000,-0.486000
8,7.073000,6.878000,-0.195000
9,6.963000,6.546000,-0.417000
10,6.944000,6.600000,-0.344000
11,7.057000,6.735000,-0.322000
12,7.021000,6.726000,-0.295000
13,6.913000,6.633000,-0.280000
14,7.045000,6.653000,-0.392000
15,7.019000,6.555000,-0.464000
16,6.983000,6.590000,-0.393000
17,7.126000,6.914000,-0.212000
18,7.047000,6.689000,-0.358000
19,7.103000,6.732000,-0.371000
20,6.985000,6.715000,-0.270000
21,7.110000,6.639000,-0.471000
22,7.155000,6.755000,-0.400000
23,6.999000,6.754000,-0.245000
24,6.953000,6.500000,-0.453000
25,7.114000,6.688000,-0.426000
26,7.084000,6.616000,-0.468000
27,6.950000,6.559000,-0.391000
28,7.016000,6.647000,-0.369000
29,7.124000,6.617000,-0.507000
30,7.009000,6.737000,-0.272000
31,7.112000,6.810000,-0.302000
32,6.978000,6.604000,-0.374000
33,7.084000,6.752000,-0.332000
34,7.065000,6.807000,-0.258000
35,7.146000,6.796000,-0.350000
36,6.870000,6.501000,-0.369000
37,7.085000,6.623000,-0.462000
38,7.150000,6.841000,-0.309000
39,7.155000,6.729000,-0.426000
40,6.972000,6.609000,-0.363000
41,7.101000,6.839000,-0.262000
42,7.038000,6.810000,-0.228000
43,7.028000,6.659000,-0.369000
44,6.990000,6.574000,-0.416000
45,7.015000,6.713000,-0.302000
46,7.050000,6.706000,-0.344000
47,6.888000,6.283000,-0.605000
48,6.720000,6.337000,-0.383000
49,7.079000,6.746000,-0.333000
50,6.934000,6.587000,-0.347000
51,6.917000,6.534000,-0.383000
52,7.017000,6.684000,-0.333000
53,7.035000,6.755000,-0.280000
54,7.018000,6.576000,-0.442000
55,6.963000,6.507000,-0.456000
