rep,k0,k1,k1-k0
1,11.841000,10.587000,-1.254000
2,11.863000,10.559000,-1.304000
3,12.017000,10.918000,-1.099000
4,11.856000,10.693000,-1.163000
5,11.970000,10.719000,-1.251000
6,12.013000,10.665000,-1.348000
7,11.904000,10.587000,-1.317000
8,12.125000,11.034000,-1.091000
9,12.100000,10.885000,-1.215000
10,11.957000,10.802000,-1.155000
11,11.944000,10.870000,-1.074000
12,11.990000,10.695000,-1.295000
13,12.199000,10.986000,-1.213000
14,12.113000,11.082000,-1.031000
15,11.984000,10.931000,-1.053000
16,11.850000,10.599000,-1.251000
17,11.842000,10.587000,-1.255000
18,12.020000,11.066000,-0.954000
19,11.845000,10.734000,-1.111000
20,11.829000,10.511000,-1.318001
21,12.180000,10.659000,-1.521000
22,12.162000,11.124000,-1.038000
23,12.095000,10.762000,-1.333000
24,12.020000,10.839000,-1.181001
25,11.906000,10.581000,-1.325000
26,11.943000,10.594000,-1.349000
27,12.011000,10.950000,-1.061000
28,12.094000,10.642000,-1.452000
29,11.881000,10.709000,-1.172000
30,11.852000,10.700000,-1.152000
31,12.235000,10.924000,-1.311000
32,11.967000,10.899000,-1.068000
33,12.074000,10.834000,-1.240001
34,12.172000,10.573000,-1.599000
35,12.003000,11.041000,-0.962000
36,12.074000,10.610000,-1.464001
37,11.975000,10.986000,-0.989000
38,11.940000,10.962000,-0.978000
39,12.108000,10.886000,-1.222000
40,11.938000,10.793000,-1.145000
41,12.042000,10.787000,-1.255000
42,12.025000,10.932000,-1.092999
43,11.815000,10.724000,-1.091000
44,11.987000,11.078000,-0.909000
45,12.177000,11.072000,-1.105000
46,12.037000,11.023000,-1.014000
47,11.777000,10.389000,-1.388000
48,11.845000,10.807000,-1.038000
49,11.914000,10.525000,-1.389000
50,12.262000,10.975000,-1.287000
51,11.972000,10.826000,-1.146000
52,11.963000,10.753000,-1.210000
53,12.003000,10.643000,-1.360001
54,11.928000,10.774000,-1.154000
55,12.002000,10.706000,-1.296000
56,11.995000,10.750000,-1.245000
57,12.136000,10.816000,-1.320000
58,11.959000,11.109000,-0.849999
59,11.845000,10.434000,-1.411000
60,12.179000,11.103000,-1.076000
61,11.859000,10.567000,-1.292000
62,11.850000,10.643000,-1.207001
63,11.891000,10.841000,-1.050000
64,12.160000,10.894000,-1.266000
65,11.923000,10.639000,-1.284000
66,11.947000,10.613000,-1.334000
67,12.090000,10.736000,-1.354000
68,11.956000,10.642000,-1.314000
69,11.907000,10.847000,-1.059999
70,12.027000,10.732000,-1.295000
71,12.153000,11.333000,-0.820000
72,11.875000,10.795000,-1.080000
73,11.864000,10.998000,-0.866000
74,12.003000,10.922000,-1.081000
75,12.101000,11.167000,-0.934000
76,12.070000,10.925000,-1.145000
77,11.885000,10.578000,-1.307000
78,12.113000,10.844000,-1.269000
79,11.995000,10.862000,-1.132999
80,11.839000,10.493000,-1.346000
81,11.919000,10.741000,-1.177999
82,12.010000,10.974000,-1.036000
83,12.105000,10.611000,-1.493999
84,12.049000,11.054000,-0.995000
85,11.940000,10.968000,-0.971999
86,12.223000,11.020000,-1.202999
