rep,k0,k1,k1-k0
1,8.027000,7.487000,-0.540000
2,8.030000,7.176000,-0.854000
3,8.043000,7.460000,-0.583000
4,8.036000,7.336000,-0.700000
5,7.972000,7.190000,-0.782000
6,8.118000,7.275000,-0.843000
7,7.985000,7.338000,-0.647000
8,7.951000,7.315000,-0.636000
9,8.047000,7.273000,-0.774000
10,7.950000,7.151000,-0.799000
11,7.961000,7.381000,-0.580000
12,8.039000,7.468000,-0.571000
13,8.036000,7.510000,-0.526000
14,8.065000,7.443000,-0.622000
15,7.952000,7.148000,-0.804000
16,7.940000,7.081000,-0.859000
17,8.142000,7.498000,-0.644000
18,7.978000,7.384000,-0.594000
19,8.083000,7.449000,-0.634000
20,7.984000,7.329000,-0.655000
21,7.956000,7.326000,-0.630000
22,7.930000,7.298000,-0.632000
23,8.066000,7.366000,-0.700000
24,7.822000,7.130000,-0.692000
25,8.141000,7.575000,-0.566000
26,7.929000,7.551000,-0.378000
27,7.955000,7.164000,-0.791000
28,7.907000,7.193000,-0.714000
29,7.900000,7.310000,-0.590000
30,8.028000,7.440000,-0.588000
31,8.022000,7.284000,-0.738000
32,7.986000,7.452000,-0.534000
33,7.824000,7.202000,-0.622000
34,7.926000,7.200000,-0.726000
35,7.991000,7.471000,-0.520000
36,8.012000,7.265000,-0.747000
37,7.964000,7.188000,-0.776000
38,7.910000,7.058000,-0.852000
39,8.003000,7.214000,-0.789000
40,8.040000,7.435000,-0.605000
41,8.113000,7.198000,-0.915000
42,8.051000,7.391000,-0.660000
43,7.910000,7.320000,-0.590000
44,8.022000,7.315000,-0.707000
45,8.179000,7.522000,-0.657000
46,8.081000,7.568000,-0.513000
47,7.866000,7.344000,-0.522000
48,7.998000,7.250000,-0.748000
49,8.024000,7.375000,-0.649000
50,7.952000,7.230000,-0.722000
51,8.077000,7.618000,-0.459000
52,8.194000,7.460000,-0.734000
53,8.028000,7.388000,-0.640000
54,8.076000,7.521000,-0.555000
55,7.938000,7.173000,-0.765000
56,8.160000,7.322000,-0.838000
57,7.944000,7.289000,-0.655000
58,7.971000,7.264000,-0.707000
59,8.046000,7.300000,-0.745999
60,8.083000,7.432000,-0.651000
61,8.075000,7.204000,-0.871000
62,8.016000,7.314000,-0.702000
63,7.979000,7.227000,-0.752000
64,7.991000,7.365000,-0.626000
65,7.989000,7.393000,-0.596000
66,7.939000,7.301000,-0.638000
67,7.893000,7.013000,-0.880000
68,8.062000,7.221000,-0.841000
69,8.135000,7.415000,-0.720000
70,7.962000,7.411000,-0.551000
71,7.912000,7.287000,-0.625000
72,7.903000,7.265000,-0.638000
73,8.072000,7.475000,-0.597000
74,7.916000,7.133000,-0.783000
75,8.021000,7.288000,-0.733000
76,8.027000,7.404000,-0.623001
77,8.099000,7.516000,-0.583000
78,7.918000,7.344000,-0.574000
79,8.010000,7.443000,-0.567000
80,7.996000,7.400000,-0.596000
81,7.890000,7.224000,-0.666000
82,7.982000,7.181000,-0.801000
83,7.883000,7.282000,-0.601000
84,8.215000,7.348000,-0.867000
85,8.248000,7.548000,-0.700000
86,8.168000,7.461000,-0.707000
87,8.032000,7.436000,-0.596000
88,7.992000,7.290000,-0.702000
89,7.965000,7.298000,-0.667000
90,7.866000,7.342000,-0.524000
91,8.067000,7.406000,-0.661000
92,8.016000,7.508000,-0.508000
93,7.988000,7.422000,-0.566000
94,7.934000,7.284000,-0.650000
95,7.955000,7.305000,-0.650000
96,7.998000,7.383000,-0.615000
97,8.105000,7.345000,-0.760000
98,7.967000,7.267000,-0.700000
99,7.916000,7.150000,-0.766000
100,7.928000,7.343000,-0.585000
101,8.019000,7.440000,-0.579000
102,8.004000,7.364000,-0.640000
103,8.155000,7.360000,-0.795000
104,7.915000,7.402000,-0.513000
105,7.803000,7.179000,-0.624000
106,8.222000,7.606000,-0.616000
107,8.089000,7.272000,-0.817000
108,8.037000,7.347000,-0.690000
109,7.962000,7.171000,-0.791000
110,7.948000,7.451000,-0.497000
111,8.027000,7.493000,-0.534000
112,7.985000,7.214000,-0.771000
113,8.131000,7.457000,-0.674000
114,7.973000,7.451000,-0.522000
115,7.900000,7.428000,-0.472000
116,8.003000,7.260000,-0.743000
117,8.039000,7.421000,-0.618000
118,7.927000,7.290000,-0.637000
119,7.962000,7.122000,-0.840000
120,8.007000,7.357000,-0.650000
121,7.996000,7.335000,-0.661000
122,7.960000,7.294000,-0.666000
123,8.230000,7.577000,-0.652999
124,8.072000,7.414000,-0.658000
125,7.921000,7.285000,-0.636000
126,7.973000,7.460000,-0.513000
127,8.098000,7.272000,-0.826000
128,8.019000,7.282000,-0.737000
129,7.952000,7.420000,-0.532000
130,7.963000,7.239000,-0.724000
131,8.114000,7.422000,-0.692000
132,7.980000,7.404000,-0.576000
133,8.041000,7.300000,-0.741000
134,7.930000,7.231000,-0.699000
135,7.911000,7.235000,-0.676000
136,8.012000,7.391000,-0.621000
137,7.996000,7.304000,-0.692000
138,8.088000,7.525000,-0.563000
139,8.179000,7.382000,-0.797000
140,7.941000,7.124000,-0.817000
141,8.067000,7.356000,-0.711000
142,8.061000,7.382000,-0.679000
143,7.982000,7.289000,-0.693000
144,8.084000,7.301000,-0.783000
145,8.038000,7.510000,-0.528000
146,8.094000,7.497000,-0.597000
147,8.142000,7.594000,-0.548000
148,7.989000,7.296000,-0.693000
149,7.894000,7.278000,-0.616000
150,7.960000,7.214000,-0.746000
151,8.043000,7.337000,-0.706000
152,8.183000,7.602000,-0.580999
153,7.876000,7.274000,-0.602000
154,8.035000,7.360000,-0.675000
155,8.012000,7.594000,-0.418000
156,8.026000,7.217000,-0.809000
157,8.031000,7.359000,-0.672000
158,8.101000,7.440000,-0.661000
159,7.975000,7.292000,-0.683000
160,8.118000,7.609000,-0.509000
161,8.060000,7.171000,-0.889000
162,7.969000,7.230000,-0.739000
163,7.971000,7.150000,-0.821000
164,8.053000,7.392000,-0.661000
165,7.943000,7.347000,-0.596000
166,7.791000,7.111000,-0.680000
167,7.962000,7.443000,-0.519000
168,7.915000,7.399000,-0.516000
169,7.982000,7.415000,-0.567000
170,8.138000,7.656000,-0.481999
171,8.013000,7.349000,-0.664000
172,7.969000,7.202000,-0.767000
173,7.934000,7.337000,-0.597000
174,8.043000,7.212000,-0.831000
175,7.851000,7.128000,-0.723000
176,8.010000,7.430000,-0.580000
177,7.894000,7.158000,-0.736000
178,8.055000,7.609000,-0.446000
179,7.876000,7.226000,-0.650000
180,8.215000,7.710000,-0.505000
181,7.953000,7.266000,-0.687000
182,7.759000,7.152000,-0.607000
183,7.892000,7.225000,-0.667000
184,8.133000,7.660000,-0.473001
185,8.047000,7.149000,-0.898000
186,8.131000,7.278000,-0.853000
187,7.934000,7.269000,-0.665000
188,7.962000,7.351000,-0.611000
189,7.964000,7.284000,-0.680000
190,8.003000,7.287000,-0.716000
191,7.930000,7.466000,-0.464000
192,8.041000,7.299000,-0.742001
193,8.008000,7.451000,-0.557000
194,8.073000,7.352000,-0.721000
195,7.817000,7.098000,-0.719000
196,8.149000,7.423000,-0.726000
197,7.957000,7.673000,-0.284000
198,8.125000,7.493000,-0.632000
199,7.925000,7.336000,-0.589000
200,7.966000,7.397000,-0.569000
