pop1,pop2,k1,k2
0,0,-1.00,-1.00
0,1148,-1.00,8.95
931,0,7.78,-1.00
1039,0,6.23,-1.00
897,0,9.36,-1.00
0,748,-1.00,8.08
0,700,-1.00,7.82
829,0,6.57,-1.00
687,0,8.02,-1.00
752,0,8.64,-1.00
872,0,8.26,-1.00
1308,0,5.46,-1.00
0,1040,-1.00,12.38
0,0,-1.00,-1.00
0,603,-1.00,10.91
932,0,7.63,-1.00
782,0,8.72,-1.00
0,0,-1.00,-1.00
608,0,13.43,-1.00
0,752,-1.00,7.41
0,725,-1.00,6.58
0,0,-1.00,-1.00
827,0,10.79,-1.00
756,0,6.36,-1.00
786,0,10.22,-1.00
728,0,8.47,-1.00
0,0,-1.00,-1.00
1002,0,9.74,-1.00
0,758,-1.00,8.34
0,677,-1.00,9.31
949,0,10.61,-1.00
0,741,-1.00,7.94
0,1307,-1.00,7.53
695,0,8.96,-1.00
0,719,-1.00,11.53
999,0,6.74,-1.00
0,1096,-1.00,7.93
0,728,-1.00,10.69
1350,0,5.62,-1.00
0,663,-1.00,9.88
0,963,-1.00,6.71
98,0,16.45,-1.00
1337,0,8.34,-1.00
0,727,-1.00,9.79
0,1138,-1.00,10.94
695,0,7.79,-1.00
879,0,9.54,-1.00
0,704,-1.00,8.90
0,704,-1.00,9.72
853,0,8.88,-1.00
740,0,7.36,-1.00
1125,0,6.34,-1.00
797,0,8.16,-1.00
0,1161,-1.00,8.44
0,1095,-1.00,8.55
902,0,5.71,-1.00
35,0,16.71,-1.00
949,0,9.22,-1.00
942,0,5.71,-1.00
644,0,9.69,-1.00
0,0,-1.00,-1.00
0,237,-1.00,13.76
0,612,-1.00,9.40
1249,0,6.83,-1.00
0,1283,-1.00,7.72
999,0,6.26,-1.00
769,0,9.37,-1.00
972,0,6.62,-1.00
0,811,-1.00,7.36
0,891,-1.00,6.81
956,0,9.33,-1.00
0,624,-1.00,11.70
0,0,-1.00,-1.00
810,0,7.73,-1.00
770,0,7.89,-1.00
0,677,-1.00,9.45
897,0,7.09,-1.00
1391,0,6.09,-1.00
0,667,-1.00,8.75
559,0,11.52,-1.00
950,0,8.55,-1.00
725,0,12.09,-1.00
985,0,6.27,-1.00
845,0,7.98,-1.00
0,798,-1.00,5.81
0,1114,-1.00,6.38
0,1301,-1.00,6.84
794,0,8.23,-1.00
0,997,-1.00,10.38
583,0,11.14,-1.00
930,0,10.71,-1.00
1135,0,8.86,-1.00
1378,0,6.74,-1.00
914,0,4.61,-1.00
872,0,11.23,-1.00
701,0,9.82,-1.00
867,0,7.14,-1.00
628,0,9.10,-1.00
0,0,-1.00,-1.00
850,0,6.44,-1.00
