pop1,pop2,k1,k2
0,702,-1.00,8.34
1280,0,6.07,-1.00
1320,0,7.58,-1.00
630,0,11.30,-1.00
0,653,-1.00,10.16
1040,0,5.82,-1.00
905,0,6.36,-1.00
669,0,11.77,-1.00
0,809,-1.00,11.78
707,0,10.44,-1.00
0,923,-1.00,7.19
0,823,-1.00,10.17
164,0,14.45,-1.00
0,729,-1.00,7.96
980,0,5.69,-1.00
1,0,19.00,-1.00
839,0,7.98,-1.00
704,0,9.18,-1.00
0,1247,-1.00,5.46
0,928,-1.00,11.84
0,0,-1.00,-1.00
0,767,-1.00,8.68
0,928,-1.00,5.29
0,816,-1.00,11.93
805,0,12.01,-1.00
1069,0,6.89,-1.00
663,0,9.73,-1.00
868,0,7.03,-1.00
1248,0,7.05,-1.00
892,0,12.10,-1.00
0,825,-1.00,8.58
0,764,-1.00,9.68
860,0,6.92,-1.00
0,1068,-1.00,9.23
917,0,5.58,-1.00
0,0,-1.00,-1.00
834,0,6.24,-1.00
0,827,-1.00,10.11
0,873,-1.00,12.30
0,1113,-1.00,8.17
594,0,9.22,-1.00
1124,0,9.52,-1.00
796,0,7.06,-1.00
61,0,15.41,-1.00
1059,0,5.82,-1.00
0,1166,-1.00,9.98
0,859,-1.00,7.85
654,0,10.64,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
846,0,8.43,-1.00
0,744,-1.00,11.02
0,0,-1.00,-1.00
846,0,10.15,-1.00
0,813,-1.00,8.11
777,0,10.35,-1.00
930,0,8.01,-1.00
0,0,-1.00,-1.00
0,908,-1.00,5.79
558,0,13.00,-1.00
729,0,8.34,-1.00
634,0,10.10,-1.00
500,0,13.62,-1.00
0,889,-1.00,9.48
756,0,9.41,-1.00
1115,0,6.75,-1.00
0,753,-1.00,7.23
1112,0,6.73,-1.00
860,0,5.68,-1.00
0,1210,-1.00,6.48
0,0,-1.00,-1.00
930,0,9.75,-1.00
0,643,-1.00,10.17
759,0,7.68,-1.00
0,1221,-1.00,6.94
0,767,-1.00,9.62
630,0,9.56,-1.00
0,0,-1.00,-1.00
0,1266,-1.00,9.08
0,877,-1.00,10.74
961,0,7.26,-1.00
842,0,4.92,-1.00
1006,0,7.37,-1.00
0,1258,-1.00,8.15
725,0,7.71,-1.00
0,1027,-1.00,5.20
742,0,10.79,-1.00
963,0,12.36,-1.00
0,712,-1.00,12.21
0,811,-1.00,8.95
756,0,5.55,-1.00
752,0,6.36,-1.00
0,1103,-1.00,7.12
778,0,5.77,-1.00
602,0,9.20,-1.00
0,554,-1.00,12.88
922,0,8.36,-1.00
837,0,8.02,-1.00
689,0,8.93,-1.00
985,0,10.05,-1.00
