pop1,pop2,k1,k2
0,810,-1.00,2.10
0,770,-1.00,1.92
710,0,2.63,-1.00
722,0,3.17,-1.00
618,0,4.01,-1.00
732,0,3.02,-1.00
816,0,2.53,-1.00
694,0,2.67,-1.00
745,0,2.84,-1.00
0,743,-1.00,2.71
648,0,4.12,-1.00
707,0,2.91,-1.00
0,711,-1.00,2.94
773,0,2.81,-1.00
732,0,3.22,-1.00
745,0,2.42,-1.00
689,0,3.25,-1.00
827,0,2.52,-1.00
743,0,3.29,-1.00
598,0,4.72,-1.00
689,0,3.39,-1.00
756,0,2.32,-1.00
685,0,3.03,-1.00
704,0,2.60,-1.00
704,0,2.85,-1.00
706,0,3.20,-1.00
689,0,3.34,-1.00
822,0,2.23,-1.00
659,0,3.24,-1.00
0,826,-1.00,1.67
733,0,2.57,-1.00
833,0,2.93,-1.00
777,0,2.62,-1.00
0,736,-1.00,3.38
739,0,2.55,-1.00
678,0,3.14,-1.00
811,0,2.33,-1.00
749,0,2.75,-1.00
690,0,3.96,-1.00
735,0,3.06,-1.00
602,0,3.93,-1.00
635,0,3.85,-1.00
816,0,2.49,-1.00
665,0,3.57,-1.00
714,0,3.61,-1.00
732,0,3.03,-1.00
702,0,2.74,-1.00
786,0,2.28,-1.00
751,0,2.51,-1.00
764,0,2.53,-1.00
747,0,3.15,-1.00
785,0,2.89,-1.00
678,0,2.98,-1.00
651,0,3.45,-1.00
736,0,3.14,-1.00
801,0,2.44,-1.00
743,0,2.44,-1.00
0,697,-1.00,2.83
0,775,-1.00,2.78
0,740,-1.00,2.28
663,0,2.87,-1.00
719,0,2.58,-1.00
724,0,3.03,-1.00
652,0,3.28,-1.00
736,0,2.67,-1.00
0,751,-1.00,3.19
678,0,3.90,-1.00
867,0,2.41,-1.00
844,0,2.71,-1.00
764,0,2.47,-1.00
765,0,2.47,-1.00
742,0,3.23,-1.00
659,0,3.95,-1.00
708,0,3.02,-1.00
0,780,-1.00,2.64
0,795,-1.00,2.20
590,0,4.72,-1.00
780,0,2.48,-1.00
783,0,2.76,-1.00
817,0,2.15,-1.00
0,755,-1.00,2.01
0,760,-1.00,2.34
661,0,3.76,-1.00
783,0,2.52,-1.00
0,740,-1.00,2.96
678,0,3.26,-1.00
724,0,2.67,-1.00
767,0,2.59,-1.00
753,0,2.85,-1.00
713,0,2.83,-1.00
713,0,3.39,-1.00
783,0,2.18,-1.00
707,0,3.18,-1.00
619,0,3.76,-1.00
723,0,3.26,-1.00
612,0,4.46,-1.00
0,719,-1.00,3.60
0,734,-1.00,2.63
672,0,3.25,-1.00
646,0,3.22,-1.00
