pop1,pop2,k1,k2
0,872,-1.00,4.28
0,1263,-1.00,3.70
0,987,-1.00,3.32
0,1143,-1.00,4.31
0,1225,-1.00,2.98
0,896,-1.00,2.07
0,987,-1.00,3.89
0,858,-1.00,2.05
0,1192,-1.00,3.84
0,1139,-1.00,3.10
0,975,-1.00,5.23
0,988,-1.00,4.21
0,1078,-1.00,3.48
1154,0,5.13,-1.00
0,1513,-1.00,2.47
0,1031,-1.00,2.63
0,948,-1.00,3.21
0,1070,-1.00,2.02
0,1107,-1.00,3.25
0,0,-1.00,-1.00
0,973,-1.00,4.07
0,965,-1.00,4.47
0,756,-1.00,4.23
0,1127,-1.00,2.35
0,1574,-1.00,3.04
0,0,-1.00,-1.00
0,826,-1.00,4.17
0,1046,-1.00,2.87
0,1102,-1.00,4.28
0,1349,-1.00,2.04
0,931,-1.00,3.03
0,1307,-1.00,2.31
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,862,-1.00,3.74
0,958,-1.00,3.47
0,889,-1.00,4.28
0,0,-1.00,-1.00
0,1121,-1.00,3.80
0,946,-1.00,3.44
0,950,-1.00,3.99
0,1283,-1.00,2.63
0,1059,-1.00,3.99
0,0,-1.00,-1.00
0,1119,-1.00,3.53
0,928,-1.00,3.83
0,1306,-1.00,3.56
0,999,-1.00,4.06
0,940,-1.00,4.45
0,1285,-1.00,3.74
0,1505,-1.00,2.49
0,923,-1.00,2.92
0,1013,-1.00,1.70
0,1087,-1.00,3.37
0,1227,-1.00,2.82
0,1236,-1.00,3.94
0,736,-1.00,4.88
0,1124,-1.00,2.92
0,907,-1.00,3.03
1251,0,4.69,-1.00
0,840,-1.00,2.95
0,0,-1.00,-1.00
0,1198,-1.00,3.95
0,1573,-1.00,3.08
0,971,-1.00,4.29
0,1136,-1.00,3.09
0,1252,-1.00,3.58
0,1346,-1.00,3.46
0,0,-1.00,-1.00
0,1029,-1.00,3.90
0,1068,-1.00,5.05
0,936,-1.00,3.28
0,1123,-1.00,3.93
0,0,-1.00,-1.00
0,1347,-1.00,3.41
0,1272,-1.00,3.76
0,1223,-1.00,2.60
0,915,-1.00,3.97
0,1214,-1.00,3.92
820,0,4.16,-1.00
0,1549,-1.00,3.47
0,851,-1.00,3.41
0,1454,-1.00,4.37
0,1572,-1.00,3.72
0,1008,-1.00,4.25
0,834,-1.00,5.14
0,885,-1.00,4.15
0,1218,-1.00,3.56
0,0,-1.00,-1.00
0,1099,-1.00,4.09
0,815,-1.00,6.06
0,1145,-1.00,3.55
0,950,-1.00,4.25
0,1299,-1.00,3.53
0,992,-1.00,4.32
0,934,-1.00,3.44
0,1131,-1.00,3.40
0,955,-1.00,2.19
0,1054,-1.00,3.60
0,1374,-1.00,3.07
