pop1,pop2,k1,k2
489,424,0.62,0.81
2,910,2.00,0.59
0,922,-1.00,0.47
113,851,0.73,0.68
0,944,-1.00,0.80
0,978,-1.00,0.60
0,929,-1.00,0.50
0,939,-1.00,0.62
863,11,0.45,1.09
0,1078,-1.00,-0.31
665,307,0.70,0.55
0,972,-1.00,0.66
0,935,-1.00,0.63
0,925,-1.00,0.59
0,1083,-1.00,-0.28
0,899,-1.00,0.63
0,927,-1.00,0.64
0,1033,-1.00,-0.34
0,919,-1.00,0.56
262,667,0.45,0.52
0,917,-1.00,0.57
0,908,-1.00,0.63
0,941,-1.00,0.54
434,485,0.60,0.53
0,898,-1.00,0.59
0,984,-1.00,-0.27
0,1000,-1.00,0.10
0,888,-1.00,0.69
0,954,-1.00,0.62
0,1027,-1.00,-0.36
0,947,-1.00,0.61
0,948,-1.00,0.57
0,956,-1.00,0.55
944,0,0.58,-1.00
0,1076,-1.00,-0.45
0,1037,-1.00,-0.39
0,937,-1.00,0.50
475,465,0.52,0.53
0,954,-1.00,-0.39
573,378,0.78,0.63
0,1003,-1.00,-0.52
0,1052,-1.00,-0.27
0,1020,-1.00,-0.44
0,923,-1.00,0.59
52,908,0.85,0.52
382,506,0.85,0.71
0,1070,-1.00,-0.46
0,1013,-1.00,0.61
0,1043,-1.00,0.05
0,1025,-1.00,-0.35
0,1009,-1.00,0.44
0,980,-1.00,0.20
0,969,-1.00,0.44
0,965,-1.00,0.56
251,733,0.39,0.02
0,946,-1.00,0.67
0,916,-1.00,0.94
0,1002,-1.00,0.48
0,971,-1.00,0.51
219,699,0.63,0.60
593,327,0.59,0.64
0,961,-1.00,0.40
742,251,0.54,0.97
327,615,0.62,0.49
169,757,0.50,0.76
0,914,-1.00,0.57
0,932,-1.00,0.58
470,504,0.40,1.01
0,965,-1.00,0.57
15,911,0.00,0.18
0,1004,-1.00,0.52
0,880,-1.00,0.71
308,608,0.43,0.62
0,997,-1.00,-0.36
0,987,-1.00,0.50
0,982,-1.00,0.69
0,961,-1.00,0.60
0,1028,-1.00,-1.00
0,982,-1.00,0.01
0,967,-1.00,0.59
0,988,-1.00,-0.03
0,963,-1.00,0.59
0,962,-1.00,0.18
0,923,-1.00,0.64
0,895,-1.00,0.81
416,585,0.54,0.69
109,857,0.54,0.65
0,1069,-1.00,-0.33
0,999,-1.00,0.72
0,973,-1.00,0.04
0,977,-1.00,0.61
570,366,0.71,0.58
0,996,-1.00,0.19
0,965,-1.00,0.62
0,1020,-1.00,-0.21
0,982,-1.00,0.28
0,997,-1.00,-0.26
0,904,-1.00,0.79
0,971,-1.00,0.55
0,1010,-1.00,-0.37
