pop1,pop2,k1,k2
0,1556,-1.00,1.41
0,0,-1.00,-1.00
0,1056,-1.00,2.45
0,1433,-1.00,2.23
1436,0,2.59,-1.00
0,1234,-1.00,1.41
0,1535,-1.00,1.59
932,0,2.50,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1181,0,2.10,-1.00
199,880,2.13,2.08
0,944,-1.00,1.44
0,0,-1.00,-1.00
0,968,-1.00,2.52
990,0,2.42,-1.00
1502,0,2.55,-1.00
0,989,-1.00,1.36
0,1653,-1.00,1.46
0,919,-1.00,1.24
1198,0,2.18,-1.00
977,0,2.44,-1.00
0,1068,-1.00,2.37
0,0,-1.00,-1.00
1628,0,2.44,-1.00
1466,0,2.49,-1.00
0,1155,-1.00,1.26
0,1085,-1.00,1.79
895,0,3.01,-1.00
0,0,-1.00,-1.00
0,1277,-1.00,1.51
0,1051,-1.00,1.38
0,0,-1.00,-1.00
0,1169,-1.00,1.27
1126,0,2.33,-1.00
0,0,-1.00,-1.00
0,1191,-1.00,1.80
0,0,-1.00,-1.00
0,1128,-1.00,1.09
0,1194,-1.00,1.32
993,0,2.65,-1.00
0,1246,-1.00,1.43
1251,0,2.74,-1.00
0,1014,-1.00,1.52
0,1040,-1.00,2.26
0,1531,-1.00,1.10
0,1015,-1.00,0.97
0,959,-1.00,2.41
0,1202,-1.00,1.73
0,1343,-1.00,1.29
983,0,2.66,-1.00
0,1101,-1.00,1.29
0,1521,-1.00,2.17
0,1643,-1.00,1.75
1558,0,2.34,-1.00
0,1112,-1.00,0.61
0,0,-1.00,-1.00
0,1561,-1.00,1.02
0,0,-1.00,-1.00
1496,0,3.07,-1.00
0,1294,-1.00,2.22
0,906,-1.00,1.48
0,1072,-1.00,1.72
0,1283,-1.00,1.23
0,961,-1.00,1.59
1585,0,2.35,-1.00
1520,0,2.35,-1.00
0,1179,-1.00,1.36
0,0,-1.00,-1.00
0,1839,-1.00,0.44
0,1121,-1.00,1.67
938,0,2.45,-1.00
1401,0,2.10,-1.00
0,1190,-1.00,1.47
0,0,-1.00,-1.00
0,1113,-1.00,0.83
1094,0,1.96,-1.00
1435,0,2.49,-1.00
0,1150,-1.00,1.55
1104,0,2.17,-1.00
996,0,2.20,-1.00
0,1642,-1.00,1.33
0,1009,-1.00,1.52
0,0,-1.00,-1.00
0,1152,-1.00,2.58
0,1119,-1.00,1.64
0,980,-1.00,1.43
905,0,3.36,-1.00
0,953,-1.00,1.61
0,1110,-1.00,2.30
1186,0,2.08,-1.00
0,1596,-1.00,1.95
1229,0,2.34,-1.00
0,1254,-1.00,1.50
0,0,-1.00,-1.00
0,0,-1.00,-1.00
871,0,3.06,-1.00
1637,0,2.25,-1.00
0,0,-1.00,-1.00
0,1650,-1.00,1.08
