pop1,pop2,k1,k2
0,1507,-1.00,2.26
1523,0,4.99,-1.00
0,907,-1.00,2.38
0,826,-1.00,3.42
0,959,-1.00,3.65
0,804,-1.00,3.93
0,1004,-1.00,4.90
0,1040,-1.00,3.70
950,0,3.77,-1.00
0,1461,-1.00,3.63
0,0,-1.00,-1.00
0,1695,-1.00,2.95
0,1065,-1.00,3.97
1166,0,5.20,-1.00
0,845,-1.00,3.94
897,0,4.67,-1.00
0,1468,-1.00,3.49
0,1043,-1.00,3.44
0,934,-1.00,2.88
954,0,6.11,-1.00
1112,0,4.24,-1.00
0,1203,-1.00,3.70
0,768,-1.00,4.38
935,0,5.03,-1.00
0,1517,-1.00,4.36
0,1061,-1.00,2.83
0,1233,-1.00,3.92
1233,0,3.75,-1.00
0,1012,-1.00,3.17
0,784,-1.00,5.62
0,1491,-1.00,4.48
0,965,-1.00,3.40
0,1019,-1.00,2.63
0,0,-1.00,-1.00
0,1179,-1.00,3.48
0,1007,-1.00,3.32
0,1052,-1.00,2.78
0,1090,-1.00,3.26
0,836,-1.00,3.68
0,825,-1.00,4.20
998,0,4.95,-1.00
0,0,-1.00,-1.00
0,1301,-1.00,1.94
0,0,-1.00,-1.00
1071,0,5.66,-1.00
0,1003,-1.00,3.37
0,0,-1.00,-1.00
0,1573,-1.00,4.66
0,881,-1.00,3.72
0,1607,-1.00,3.77
1230,0,4.57,-1.00
0,978,-1.00,4.51
0,1367,-1.00,3.50
0,0,-1.00,-1.00
0,1492,-1.00,2.68
1093,0,4.99,-1.00
0,1054,-1.00,3.01
0,1027,-1.00,3.75
0,1047,-1.00,2.36
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,1141,-1.00,4.23
0,1362,-1.00,3.85
0,927,-1.00,3.93
0,982,-1.00,3.42
0,1243,-1.00,3.43
1287,0,5.74,-1.00
0,1112,-1.00,4.26
0,1622,-1.00,3.43
0,1022,-1.00,4.70
0,1167,-1.00,3.51
0,893,-1.00,3.68
0,869,-1.00,4.77
0,0,-1.00,-1.00
1028,0,3.87,-1.00
0,1356,-1.00,3.63
0,1467,-1.00,3.75
0,1027,-1.00,4.16
832,0,5.03,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
976,0,5.11,-1.00
0,1567,-1.00,2.77
0,1289,-1.00,4.23
0,1401,-1.00,3.25
0,1523,-1.00,2.67
0,1111,-1.00,3.86
1161,0,3.55,-1.00
1048,0,4.49,-1.00
0,896,-1.00,4.40
0,1230,-1.00,4.37
0,1501,-1.00,4.08
0,1231,-1.00,4.27
1153,0,4.50,-1.00
0,918,-1.00,3.34
0,907,-1.00,2.52
0,942,-1.00,2.59
0,1485,-1.00,3.98
0,1790,-1.00,2.99
0,1060,-1.00,2.81
