pop1,pop2,k1,k2
0,913,-1.00,1.20
855,0,1.09,-1.00
0,977,-1.00,0.10
922,0,1.20,-1.00
0,1011,-1.00,0.14
0,936,-1.00,0.02
0,850,-1.00,1.19
0,888,-1.00,1.32
927,0,1.05,-1.00
0,866,-1.00,1.11
0,940,-1.00,0.42
917,0,1.52,-1.00
812,0,1.03,-1.00
106,862,0.78,-0.04
749,156,1.27,1.49
900,0,1.12,-1.00
0,965,-1.00,1.08
901,0,1.11,-1.00
893,12,1.12,0.08
0,859,-1.00,0.54
0,874,-1.00,1.15
0,1100,-1.00,-0.56
824,0,1.37,-1.00
0,850,-1.00,0.99
754,99,1.20,0.30
0,1003,-1.00,0.32
0,857,-1.00,1.30
0,937,-1.00,0.71
894,0,1.03,-1.00
0,1000,-1.00,0.31
903,0,1.29,-1.00
0,984,-1.00,0.43
104,776,2.51,1.39
0,976,-1.00,0.08
0,888,-1.00,1.28
0,858,-1.00,0.37
0,969,-1.00,0.31
848,0,1.06,-1.00
0,893,-1.00,1.29
454,378,1.34,1.39
0,1014,-1.00,0.26
0,897,-1.00,0.31
0,1007,-1.00,0.24
0,992,-1.00,0.25
0,1023,-1.00,0.21
0,919,-1.00,0.75
0,1056,-1.00,0.20
0,1041,-1.00,0.34
0,948,-1.00,0.58
898,0,1.23,-1.00
0,936,-1.00,0.35
0,993,-1.00,0.39
0,935,-1.00,0.51
967,0,0.94,-1.00
841,0,1.18,-1.00
0,943,-1.00,0.53
0,1034,-1.00,-0.80
0,997,-1.00,0.31
0,991,-1.00,0.43
833,0,1.40,-1.00
0,834,-1.00,1.29
0,924,-1.00,0.48
905,0,1.42,-1.00
0,873,-1.00,1.04
0,951,-1.00,0.36
0,892,-1.00,0.97
0,1063,-1.00,-0.45
0,865,-1.00,1.22
926,0,1.02,-1.00
825,0,1.14,-1.00
0,896,-1.00,1.08
759,93,1.34,1.27
0,812,-1.00,1.24
0,909,-1.00,0.97
917,0,1.04,-1.00
908,0,1.24,-1.00
867,0,1.03,-1.00
0,929,-1.00,1.01
0,934,-1.00,0.37
0,816,-1.00,1.18
0,896,-1.00,1.13
0,959,-1.00,0.32
0,900,-1.00,1.01
10,918,6.00,1.39
0,1019,-1.00,0.32
790,0,1.27,-1.00
957,0,1.16,-1.00
882,0,1.28,-1.00
0,964,-1.00,-0.01
0,1043,-1.00,-0.43
0,1031,-1.00,-0.06
0,871,-1.00,1.30
0,936,-1.00,0.74
146,866,0.78,0.21
0,1017,-1.00,0.27
0,892,-1.00,1.34
0,875,-1.00,1.50
889,0,1.31,-1.00
146,746,1.02,1.08
0,848,-1.00,1.27
