pop1,pop2,k1,k2
949,0,7.07,-1.00
1088,0,5.57,-1.00
847,0,6.17,-1.00
1007,0,6.25,-1.00
0,754,-1.00,7.42
0,825,-1.00,5.14
1012,0,6.94,-1.00
0,800,-1.00,5.04
0,905,-1.00,4.91
0,888,-1.00,6.27
964,0,6.58,-1.00
0,1306,-1.00,7.94
718,0,6.28,-1.00
0,930,-1.00,5.29
845,0,7.32,-1.00
1014,0,6.27,-1.00
899,0,5.88,-1.00
0,806,-1.00,6.53
895,0,6.00,-1.00
0,1400,-1.00,4.73
0,0,-1.00,-1.00
746,0,7.29,-1.00
868,0,5.05,-1.00
0,882,-1.00,5.50
0,1152,-1.00,3.49
807,0,7.86,-1.00
0,797,-1.00,5.10
1119,0,5.57,-1.00
796,0,6.68,-1.00
1075,0,5.37,-1.00
0,1303,-1.00,5.61
901,0,4.42,-1.00
0,1142,-1.00,2.47
1276,0,6.20,-1.00
977,0,5.94,-1.00
1132,0,5.44,-1.00
998,0,5.52,-1.00
902,0,7.94,-1.00
0,843,-1.00,4.84
868,0,4.28,-1.00
1021,0,7.10,-1.00
0,845,-1.00,6.45
928,0,8.68,-1.00
888,0,7.99,-1.00
1033,0,6.57,-1.00
1339,0,5.16,-1.00
0,972,-1.00,5.23
0,1427,-1.00,6.61
0,0,-1.00,-1.00
0,913,-1.00,4.38
884,0,6.44,-1.00
1199,0,6.95,-1.00
777,0,8.14,-1.00
1023,0,5.74,-1.00
0,735,-1.00,7.12
0,831,-1.00,5.52
0,898,-1.00,6.25
965,0,11.12,-1.00
1197,0,7.01,-1.00
0,869,-1.00,7.81
0,774,-1.00,6.13
1137,0,5.42,-1.00
705,0,7.30,-1.00
0,984,-1.00,5.27
0,1339,-1.00,3.73
908,0,4.89,-1.00
1290,0,7.54,-1.00
0,1335,-1.00,4.90
0,1016,-1.00,4.18
0,0,-1.00,-1.00
0,906,-1.00,5.20
0,1059,-1.00,5.08
0,845,-1.00,6.45
1351,0,5.90,-1.00
1006,0,6.42,-1.00
792,0,6.07,-1.00
843,0,6.11,-1.00
0,1077,-1.00,4.42
1129,0,7.38,-1.00
971,0,6.19,-1.00
0,921,-1.00,3.52
0,1059,-1.00,3.94
0,1146,-1.00,5.60
0,1388,-1.00,5.99
0,936,-1.00,5.22
0,1264,-1.00,5.17
1003,0,6.44,-1.00
0,1551,-1.00,5.22
1228,0,5.16,-1.00
0,1642,-1.00,3.94
0,933,-1.00,3.88
0,894,-1.00,6.09
1239,0,7.21,-1.00
0,1123,-1.00,4.91
1107,0,6.17,-1.00
1199,0,6.61,-1.00
0,894,-1.00,4.23
1390,0,4.39,-1.00
0,930,-1.00,2.89
959,0,5.60,-1.00
