pop1,pop2,k1,k2
940,0,0.68,-1.00
932,0,0.57,-1.00
774,131,0.73,0.20
947,0,0.44,-1.00
963,0,0.58,-1.00
963,0,0.58,-1.00
955,0,0.44,-1.00
937,0,0.61,-1.00
878,0,0.70,-1.00
946,0,0.54,-1.00
906,0,0.56,-1.00
966,0,0.53,-1.00
955,0,0.60,-1.00
946,0,0.67,-1.00
985,0,0.58,-1.00
885,0,0.52,-1.00
869,0,0.78,-1.00
916,0,0.58,-1.00
1039,0,0.51,-1.00
970,0,0.58,-1.00
955,0,0.63,-1.00
929,0,0.50,-1.00
927,0,0.55,-1.00
900,0,0.67,-1.00
842,95,0.62,0.33
931,0,0.57,-1.00
939,0,0.73,-1.00
939,0,0.67,-1.00
945,0,0.52,-1.00
894,0,0.62,-1.00
985,0,0.65,-1.00
973,0,0.47,-1.00
926,0,0.49,-1.00
935,0,0.44,-1.00
965,0,0.41,-1.00
63,892,0.06,0.62
891,0,0.47,-1.00
975,0,0.71,-1.00
907,0,0.54,-1.00
950,0,0.53,-1.00
920,0,0.57,-1.00
887,0,0.62,-1.00
0,1086,-1.00,-0.37
944,0,0.57,-1.00
975,0,0.61,-1.00
984,0,0.46,-1.00
336,541,0.98,0.66
852,0,0.41,-1.00
959,0,0.44,-1.00
926,0,0.56,-1.00
987,0,0.53,-1.00
197,879,0.26,-0.20
1038,0,0.65,-1.00
953,0,0.59,-1.00
894,0,0.48,-1.00
384,557,0.56,0.52
984,0,0.39,-1.00
916,0,0.49,-1.00
988,0,0.40,-1.00
620,366,0.64,-0.16
606,425,0.67,0.65
995,0,0.60,-1.00
963,0,0.71,-1.00
963,0,0.55,-1.00
902,0,0.71,-1.00
751,147,0.82,0.79
993,0,0.53,-1.00
905,0,0.62,-1.00
932,0,0.55,-1.00
535,408,0.58,0.46
925,0,0.57,-1.00
874,77,0.54,1.22
776,116,0.55,1.26
809,121,0.70,0.45
0,990,-1.00,-0.25
922,0,0.72,-1.00
927,0,0.49,-1.00
752,160,0.68,1.02
920,0,0.65,-1.00
931,0,0.55,-1.00
859,0,0.60,-1.00
862,0,0.66,-1.00
632,290,0.50,0.77
928,0,0.64,-1.00
904,0,0.62,-1.00
988,0,0.60,-1.00
0,993,-1.00,-0.37
719,258,0.63,0.45
857,0,0.59,-1.00
955,0,0.67,-1.00
963,0,0.59,-1.00
932,0,0.56,-1.00
905,0,0.62,-1.00
938,0,0.68,-1.00
926,0,0.49,-1.00
901,0,0.71,-1.00
882,0,0.77,-1.00
949,0,0.48,-1.00
977,0,0.39,-1.00
967,0,0.55,-1.00
