pop1,pop2,k1,k2
0,893,-1.00,1.05
0,991,-1.00,0.14
865,0,1.38,-1.00
0,1008,-1.00,0.29
0,974,-1.00,0.28
0,826,-1.00,1.71
867,0,1.18,-1.00
0,857,-1.00,1.11
0,974,-1.00,0.16
0,961,-1.00,0.15
0,883,-1.00,0.88
0,936,-1.00,0.66
922,0,0.93,-1.00
0,980,-1.00,-0.03
0,1006,-1.00,0.11
928,0,1.27,-1.00
0,1040,-1.00,0.20
0,889,-1.00,0.63
157,721,0.87,0.94
0,893,-1.00,1.05
0,833,-1.00,1.12
0,1030,-1.00,0.05
872,0,1.36,-1.00
913,0,0.93,-1.00
0,888,-1.00,0.80
939,0,1.27,-1.00
831,0,1.05,-1.00
847,0,1.31,-1.00
0,921,-1.00,0.98
0,1026,-1.00,0.22
0,921,-1.00,0.49
0,979,-1.00,0.10
0,999,-1.00,0.26
0,1002,-1.00,0.34
0,879,-1.00,1.22
0,990,-1.00,-0.75
0,1149,-1.00,-0.78
0,972,-1.00,0.13
0,914,-1.00,0.54
409,483,1.61,1.38
181,736,1.02,1.08
922,0,1.34,-1.00
0,857,-1.00,0.76
0,1120,-1.00,-0.72
0,900,-1.00,0.61
0,887,-1.00,0.43
0,1020,-1.00,-0.00
896,0,1.04,-1.00
0,918,-1.00,0.93
0,849,-1.00,1.01
0,912,-1.00,1.02
0,847,-1.00,1.04
883,0,1.37,-1.00
0,874,-1.00,1.41
0,1001,-1.00,0.19
0,937,-1.00,1.01
837,0,1.40,-1.00
0,908,-1.00,0.19
50,897,1.34,0.18
809,0,1.46,-1.00
0,1025,-1.00,0.09
0,950,-1.00,0.31
0,1006,-1.00,0.22
0,833,-1.00,1.31
0,1069,-1.00,0.16
0,1051,-1.00,0.31
119,856,1.30,0.18
0,982,-1.00,0.18
907,0,1.08,-1.00
0,973,-1.00,0.21
0,932,-1.00,0.45
0,872,-1.00,1.05
0,942,-1.00,0.03
877,0,0.96,-1.00
0,931,-1.00,1.11
0,1003,-1.00,0.19
0,904,-1.00,0.45
0,934,-1.00,0.77
0,851,-1.00,1.28
0,931,-1.00,0.19
0,978,-1.00,0.34
841,0,1.05,-1.00
0,1034,-1.00,0.14
0,1131,-1.00,-0.91
0,1022,-1.00,0.24
0,955,-1.00,0.47
838,0,1.08,-1.00
905,0,1.34,-1.00
0,968,-1.00,1.15
0,907,-1.00,1.29
0,837,-1.00,1.32
0,1078,-1.00,0.05
0,1016,-1.00,-0.36
0,921,-1.00,1.19
0,910,-1.00,0.30
874,0,0.98,-1.00
0,986,-1.00,0.18
0,1000,-1.00,0.19
132,789,1.67,0.65
0,1008,-1.00,0.41
