gen,pop1,pop2,k1,k2
1,500,500,0.00,0.00
1,455,553,0.20,0.21
2,460,522,0.45,0.43
3,485,507,0.66,0.62
4,491,493,0.81,0.80
5,453,457,1.00,0.90
6,450,469,1.13,1.04
7,445,483,1.27,1.16
8,412,454,1.36,1.21
9,442,429,1.44,1.45
10,416,447,1.58,1.50
