gen,pop1,pop2,k1,k2
1,500,500,0.00,0.00
1,509,489,0.17,0.23
2,490,491,0.36,0.42
3,523,487,0.60,0.57
4,497,478,0.78,0.79
5,463,487,1.00,0.92
6,465,464,1.13,1.07
7,448,489,1.28,1.21
8,479,476,1.45,1.39
9,485,464,1.53,1.44
10,458,419,1.67,1.42
