pop1,pop2,k1,k2
0,513,-1.00,5.60
0,636,-1.00,3.61
0,703,-1.00,2.94
0,611,-1.00,3.67
0,604,-1.00,4.69
0,658,-1.00,3.47
0,624,-1.00,4.10
0,606,-1.00,4.73
571,0,5.10,-1.00
0,716,-1.00,2.69
0,803,-1.00,2.77
0,447,-1.00,5.99
0,565,-1.00,4.80
0,724,-1.00,3.30
0,540,-1.00,5.64
0,522,-1.00,4.96
0,475,-1.00,5.59
0,663,-1.00,3.46
0,727,-1.00,2.85
0,639,-1.00,4.26
0,534,-1.00,5.04
577,0,4.55,-1.00
0,586,-1.00,4.36
0,558,-1.00,4.65
0,703,-1.00,3.41
590,0,4.46,-1.00
0,693,-1.00,3.41
0,548,-1.00,4.95
0,605,-1.00,4.52
0,644,-1.00,4.15
0,645,-1.00,3.34
0,625,-1.00,3.89
0,663,-1.00,3.40
0,683,-1.00,3.22
0,665,-1.00,3.76
0,649,-1.00,3.67
0,685,-1.00,3.85
588,0,4.76,-1.00
0,602,-1.00,3.99
0,486,-1.00,6.04
0,543,-1.00,4.82
498,0,5.95,-1.00
0,706,-1.00,2.75
0,646,-1.00,3.77
530,0,4.98,-1.00
0,640,-1.00,3.92
0,560,-1.00,4.95
0,590,-1.00,4.23
0,589,-1.00,4.04
0,683,-1.00,4.10
0,582,-1.00,4.50
626,0,4.43,-1.00
653,0,3.42,-1.00
0,703,-1.00,2.96
0,626,-1.00,3.67
434,0,6.48,-1.00
0,583,-1.00,4.81
0,653,-1.00,4.00
0,673,-1.00,3.69
0,710,-1.00,2.56
0,724,-1.00,3.07
611,0,5.14,-1.00
0,559,-1.00,3.88
492,0,5.34,-1.00
0,656,-1.00,4.09
0,732,-1.00,3.06
0,691,-1.00,3.80
0,582,-1.00,4.00
578,0,4.83,-1.00
0,523,-1.00,5.29
590,0,4.05,-1.00
0,687,-1.00,3.18
623,0,3.78,-1.00
0,565,-1.00,5.12
0,580,-1.00,5.08
0,441,-1.00,6.29
676,0,3.53,-1.00
0,578,-1.00,5.33
0,558,-1.00,5.00
475,0,6.18,-1.00
0,572,-1.00,4.69
0,617,-1.00,4.23
0,662,-1.00,4.30
0,679,-1.00,3.53
526,0,5.63,-1.00
0,640,-1.00,3.43
581,0,4.34,-1.00
0,625,-1.00,3.62
0,590,-1.00,4.15
0,586,-1.00,4.42
0,584,-1.00,4.74
587,0,4.72,-1.00
529,0,4.91,-1.00
0,525,-1.00,5.20
0,643,-1.00,3.47
508,0,5.60,-1.00
0,880,-1.00,2.14
0,748,-1.00,2.98
0,562,-1.00,4.99
0,746,-1.00,2.87
