pop1,pop2,k1,k2
0,716,-1.00,2.86
683,0,3.77,-1.00
0,719,-1.00,2.80
0,731,-1.00,3.15
0,718,-1.00,2.92
0,705,-1.00,3.17
0,681,-1.00,3.36
0,780,-1.00,2.53
745,0,3.26,-1.00
0,708,-1.00,3.61
681,0,3.11,-1.00
0,660,-1.00,3.15
0,670,-1.00,3.14
0,668,-1.00,3.06
0,776,-1.00,2.55
701,0,3.38,-1.00
724,0,3.09,-1.00
0,720,-1.00,2.91
0,732,-1.00,3.20
0,738,-1.00,3.02
0,776,-1.00,2.35
0,695,-1.00,3.39
0,757,-1.00,3.29
0,732,-1.00,2.84
0,709,-1.00,3.13
0,675,-1.00,3.08
0,729,-1.00,2.58
0,768,-1.00,2.44
717,0,3.14,-1.00
0,751,-1.00,2.49
0,662,-1.00,3.33
0,683,-1.00,2.80
747,0,2.88,-1.00
633,0,4.13,-1.00
0,650,-1.00,4.03
0,776,-1.00,2.49
0,738,-1.00,2.92
679,0,3.44,-1.00
0,673,-1.00,4.55
0,754,-1.00,2.60
0,659,-1.00,2.73
0,540,-1.00,4.61
0,775,-1.00,2.71
0,665,-1.00,3.28
0,704,-1.00,2.57
0,716,-1.00,3.07
0,701,-1.00,3.14
0,732,-1.00,3.06
0,739,-1.00,3.08
0,699,-1.00,2.75
0,690,-1.00,3.39
0,629,-1.00,3.70
0,784,-1.00,2.95
677,0,3.23,-1.00
0,784,-1.00,2.65
0,671,-1.00,3.03
0,729,-1.00,2.81
0,698,-1.00,3.04
0,719,-1.00,3.26
740,0,3.51,-1.00
0,746,-1.00,3.29
0,696,-1.00,3.47
785,0,2.43,-1.00
0,714,-1.00,2.71
607,0,3.94,-1.00
0,752,-1.00,2.56
653,0,3.35,-1.00
0,718,-1.00,2.78
635,0,4.15,-1.00
0,687,-1.00,3.16
0,671,-1.00,3.30
0,681,-1.00,2.96
0,661,-1.00,3.22
0,757,-1.00,2.60
0,740,-1.00,2.83
0,737,-1.00,3.18
707,0,2.77,-1.00
722,0,3.30,-1.00
0,694,-1.00,3.74
630,0,3.61,-1.00
767,0,2.45,-1.00
0,707,-1.00,2.84
0,734,-1.00,2.79
0,656,-1.00,3.30
0,648,-1.00,3.47
0,775,-1.00,2.78
0,725,-1.00,2.94
0,663,-1.00,3.68
0,826,-1.00,2.83
0,703,-1.00,3.49
0,634,-1.00,3.98
0,690,-1.00,3.24
0,737,-1.00,2.83
775,0,2.94,-1.00
732,0,2.79,-1.00
714,0,2.73,-1.00
0,782,-1.00,2.66
727,0,3.09,-1.00
630,0,3.77,-1.00
0,661,-1.00,3.55
