pop1,pop2,k1,k2
875,0,1.28,-1.00
703,151,1.10,1.40
931,0,1.23,-1.00
460,331,1.53,1.22
693,262,1.01,0.47
0,849,-1.00,1.31
846,0,1.30,-1.00
950,0,1.08,-1.00
267,486,2.31,1.03
0,927,-1.00,1.01
927,0,1.14,-1.00
945,0,1.04,-1.00
0,979,-1.00,0.14
0,1038,-1.00,-0.24
854,0,1.16,-1.00
420,522,1.63,1.15
940,0,1.03,-1.00
846,0,1.23,-1.00
870,0,1.17,-1.00
786,147,1.15,0.81
0,1026,-1.00,-0.47
752,149,1.07,1.64
142,802,1.10,0.34
882,0,1.39,-1.00
377,522,1.31,1.04
1,841,4.00,1.25
837,0,1.21,-1.00
871,16,1.31,2.69
908,0,0.89,-1.00
0,980,-1.00,0.23
849,0,1.12,-1.00
0,981,-1.00,0.23
33,956,1.12,0.27
0,869,-1.00,1.08
0,980,-1.00,0.41
0,903,-1.00,1.26
644,286,1.22,1.50
0,910,-1.00,0.66
898,2,0.79,3.00
867,0,1.09,-1.00
0,824,-1.00,0.88
0,1013,-1.00,0.33
863,0,0.94,-1.00
929,0,1.09,-1.00
0,920,-1.00,1.21
0,874,-1.00,0.18
309,571,1.53,1.42
0,1042,-1.00,-0.00
489,363,1.20,1.12
0,861,-1.00,1.16
0,955,-1.00,0.06
4,845,1.25,1.47
0,933,-1.00,1.07
0,995,-1.00,0.20
812,0,1.43,-1.00
318,557,1.50,1.42
902,0,1.29,-1.00
0,1027,-1.00,0.18
0,959,-1.00,1.14
0,918,-1.00,0.27
886,0,1.42,-1.00
451,458,1.20,1.16
0,958,-1.00,0.52
0,1004,-1.00,0.19
0,997,-1.00,0.18
906,0,1.27,-1.00
0,888,-1.00,1.42
860,0,1.12,-1.00
894,0,1.01,-1.00
914,0,1.24,-1.00
868,0,1.02,-1.00
859,0,1.29,-1.00
0,963,-1.00,0.23
0,905,-1.00,1.25
0,1055,-1.00,0.26
0,1000,-1.00,0.27
0,871,-1.00,1.54
853,0,1.06,-1.00
0,991,-1.00,0.22
975,0,1.29,-1.00
0,960,-1.00,0.33
0,877,-1.00,1.28
0,1010,-1.00,-0.48
0,870,-1.00,1.18
719,178,1.00,1.28
0,1040,-1.00,-0.02
552,307,1.58,1.77
28,817,2.79,1.21
0,957,-1.00,0.34
902,0,1.17,-1.00
220,657,1.12,1.21
0,899,-1.00,1.26
0,943,-1.00,0.41
0,1044,-1.00,0.14
807,0,1.35,-1.00
0,852,-1.00,1.10
899,0,1.31,-1.00
0,845,-1.00,1.24
0,893,-1.00,1.12
0,838,-1.00,1.02
