gen,pop1,pop2,k1,k2
1,500,500,0.00,0.00
1,505,519,0.24,0.26
2,505,518,0.41,0.46
3,504,475,0.59,0.64
4,531,429,0.81,0.82
5,506,393,0.94,0.93
6,537,364,1.15,1.22
7,551,368,1.31,1.30
8,472,385,1.50,1.36
9,483,406,1.55,1.54
10,473,397,1.69,1.73
