pop1,pop2,k1,k2
0,0,-1.00,-1.00
0,1279,-1.00,4.39
767,0,4.96,-1.00
0,767,-1.00,5.41
0,1356,-1.00,5.81
0,830,-1.00,5.58
0,1108,-1.00,3.76
842,0,8.94,-1.00
867,0,6.50,-1.00
795,0,5.32,-1.00
1104,0,7.90,-1.00
0,1360,-1.00,4.90
0,831,-1.00,3.96
1106,0,5.99,-1.00
1081,0,5.24,-1.00
0,1250,-1.00,4.79
1173,0,5.85,-1.00
814,0,6.52,-1.00
1137,0,5.23,-1.00
0,1260,-1.00,4.60
0,1322,-1.00,6.03
0,1243,-1.00,5.21
0,1025,-1.00,5.11
814,0,6.51,-1.00
0,759,-1.00,6.39
0,953,-1.00,4.23
0,1063,-1.00,5.46
0,1064,-1.00,6.76
0,799,-1.00,4.79
0,751,-1.00,7.52
0,921,-1.00,4.43
0,0,-1.00,-1.00
0,821,-1.00,5.76
862,0,5.05,-1.00
1011,0,4.67,-1.00
0,1063,-1.00,5.41
0,1131,-1.00,4.32
1132,0,5.55,-1.00
0,1090,-1.00,5.60
1341,0,7.20,-1.00
1091,0,5.97,-1.00
0,1277,-1.00,5.30
0,1142,-1.00,4.76
899,0,6.82,-1.00
1062,0,5.18,-1.00
1035,0,4.83,-1.00
889,0,6.71,-1.00
772,0,6.63,-1.00
0,1118,-1.00,4.02
0,962,-1.00,2.86
754,0,8.03,-1.00
999,0,5.92,-1.00
1009,0,8.49,-1.00
0,872,-1.00,5.43
0,1019,-1.00,2.88
0,1299,-1.00,4.74
0,964,-1.00,7.26
0,888,-1.00,6.41
0,1097,-1.00,4.03
0,1056,-1.00,3.66
0,1042,-1.00,4.79
0,807,-1.00,5.61
781,0,5.69,-1.00
0,1141,-1.00,4.04
1030,0,7.79,-1.00
961,0,5.43,-1.00
1015,0,6.69,-1.00
0,1309,-1.00,4.69
0,1302,-1.00,4.66
1276,0,5.70,-1.00
0,918,-1.00,3.71
865,0,7.00,-1.00
0,1398,-1.00,5.16
0,865,-1.00,4.57
0,856,-1.00,6.82
0,923,-1.00,5.11
0,802,-1.00,3.68
0,1465,-1.00,3.80
0,0,-1.00,-1.00
704,0,7.93,-1.00
0,1021,-1.00,4.33
0,830,-1.00,5.31
0,0,-1.00,-1.00
0,978,-1.00,2.74
0,819,-1.00,3.96
0,1124,-1.00,5.24
930,0,6.44,-1.00
0,1487,-1.00,4.29
0,842,-1.00,5.10
907,0,6.90,-1.00
1072,0,5.48,-1.00
0,1155,-1.00,5.00
0,1244,-1.00,4.97
0,989,-1.00,6.80
0,948,-1.00,3.58
0,1028,-1.00,4.23
835,0,5.09,-1.00
1301,0,4.42,-1.00
0,1472,-1.00,4.29
0,1203,-1.00,4.83
