pop1,pop2,k1,k2
11,967,0.00,0.00
338,714,0.00,0.00
477,508,0.00,0.00
459,506,0.00,0.00
746,351,0.00,0.00
594,401,0.00,0.00
608,377,0.00,0.00
651,332,0.00,0.00
327,629,0.00,0.00
0,982,-1.00,0.00
84,916,0.00,0.00
421,510,0.00,0.00
66,898,0.00,0.00
509,527,0.00,0.00
742,223,0.00,0.00
808,198,0.00,0.00
48,933,0.00,0.00
241,789,0.00,0.00
450,530,0.00,0.00
423,554,0.00,0.00
851,220,0.00,0.00
83,867,0.00,0.00
575,408,0.00,0.00
855,79,0.00,0.00
139,887,0.00,0.00
92,872,0.00,0.00
350,655,0.00,0.00
0,952,-1.00,0.00
886,89,0.00,0.00
567,494,0.00,0.00
0,980,-1.00,0.00
321,673,0.00,0.00
380,548,0.00,0.00
918,93,0.00,0.00
103,770,0.00,0.00
0,1023,-1.00,0.00
0,988,-1.00,0.00
730,295,0.00,0.00
0,958,-1.00,0.00
1025,0,0.00,-1.00
468,502,0.00,0.00
624,355,0.00,0.00
0,977,-1.00,0.00
668,321,0.00,0.00
611,402,0.00,0.00
206,788,0.00,0.00
1028,0,0.00,-1.00
122,821,0.00,0.00
85,888,0.00,0.00
466,542,0.00,0.00
994,0,0.00,-1.00
687,309,0.00,0.00
785,196,0.00,0.00
320,696,0.00,0.00
718,309,0.00,0.00
970,12,0.00,0.00
878,80,0.00,0.00
360,655,0.00,0.00
451,538,0.00,0.00
976,0,0.00,-1.00
785,268,0.00,0.00
238,785,0.00,0.00
0,963,-1.00,0.00
401,616,0.00,0.00
430,556,0.00,0.00
509,500,0.00,0.00
480,534,0.00,0.00
840,133,0.00,0.00
1033,0,0.00,-1.00
1042,0,0.00,-1.00
520,413,0.00,0.00
62,965,0.00,0.00
1039,0,0.00,-1.00
463,595,0.00,0.00
81,970,0.00,0.00
810,195,0.00,0.00
630,323,0.00,0.00
482,478,0.00,0.00
318,678,0.00,0.00
729,259,0.00,0.00
547,455,0.00,0.00
887,105,0.00,0.00
65,958,0.00,0.00
63,924,0.00,0.00
636,409,0.00,0.00
929,0,0.00,-1.00
626,340,0.00,0.00
621,399,0.00,0.00
404,637,0.00,0.00
0,921,-1.00,0.00
259,756,0.00,0.00
372,650,0.00,0.00
767,259,0.00,0.00
94,838,0.00,0.00
597,352,0.00,0.00
414,527,0.00,0.00
726,326,0.00,0.00
425,579,0.00,0.00
161,866,0.00,0.00
437,599,0.00,0.00
