pop1,pop2,k1,k2
0,1085,-1.00,-0.41
230,651,0.74,0.49
912,22,0.58,1.00
0,1116,-1.00,-0.44
629,295,0.72,0.57
126,828,0.88,0.60
0,993,-1.00,0.11
289,661,0.51,0.75
812,151,0.61,0.75
0,1007,-1.00,-0.05
909,0,0.60,-1.00
0,1025,-1.00,-0.31
0,932,-1.00,-0.52
559,343,0.51,0.68
500,498,0.70,0.68
804,139,0.63,0.76
1013,0,0.71,-1.00
887,65,0.52,0.58
967,0,0.59,-1.00
418,577,0.73,0.66
505,388,0.64,0.65
911,0,0.57,-1.00
469,523,0.36,0.24
0,961,-1.00,0.60
836,119,0.65,0.57
0,950,-1.00,-0.38
659,397,0.54,0.38
195,787,0.85,-0.23
715,198,0.58,0.77
955,0,0.56,-1.00
246,736,0.54,0.67
189,775,0.61,0.55
943,0,0.76,-1.00
223,767,0.80,0.60
0,983,-1.00,-0.39
0,961,-1.00,0.50
647,228,0.73,0.83
908,0,0.64,-1.00
879,0,0.60,-1.00
0,1097,-1.00,-0.29
594,360,0.58,0.54
0,1008,-1.00,-0.21
864,0,0.97,-1.00
941,0,0.57,-1.00
591,403,0.58,0.51
910,0,0.63,-1.00
994,0,0.53,-1.00
0,1109,-1.00,-0.58
934,0,0.81,-1.00
807,79,0.50,0.58
849,78,0.71,0.37
949,0,0.50,-1.00
919,0,0.72,-1.00
918,0,0.65,-1.00
908,0,0.60,-1.00
984,0,0.47,-1.00
315,618,0.40,0.77
799,117,0.73,0.52
0,1007,-1.00,-0.44
0,990,-1.00,-0.36
911,0,0.58,-1.00
329,619,0.40,0.56
408,480,0.94,0.94
921,0,0.67,-1.00
841,110,0.43,0.87
0,1101,-1.00,-0.56
938,0,0.67,-1.00
904,0,0.70,-1.00
0,963,-1.00,0.61
616,401,0.56,0.58
0,889,-1.00,0.67
988,0,0.61,-1.00
818,124,0.64,0.69
938,0,0.61,-1.00
517,426,0.53,-0.17
125,812,0.22,0.74
66,925,0.48,0.63
41,865,0.68,0.57
887,88,0.68,0.39
0,1124,-1.00,-0.46
0,1017,-1.00,-0.51
396,610,0.63,-0.12
865,78,0.68,0.82
375,578,0.45,0.31
723,293,0.45,0.47
0,917,-1.00,0.57
0,969,-1.00,-0.45
857,0,0.67,-1.00
933,0,0.47,-1.00
555,416,0.60,0.50
0,1062,-1.00,-0.36
0,944,-1.00,0.30
202,773,0.63,0.49
0,1033,-1.00,-0.31
198,726,0.90,0.45
924,0,0.49,-1.00
395,548,0.72,0.20
0,1013,-1.00,-0.42
113,928,0.77,-0.08
0,1076,-1.00,-0.48
