pop1,pop2,k1,k2
883,0,3.60,-1.00
1263,0,4.21,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,1456,-1.00,3.65
1238,0,4.32,-1.00
0,1161,-1.00,3.20
0,1248,-1.00,3.31
0,1275,-1.00,3.75
0,1227,-1.00,3.03
0,1184,-1.00,2.56
0,1204,-1.00,2.15
808,0,4.35,-1.00
0,873,-1.00,3.58
0,998,-1.00,2.71
903,0,3.88,-1.00
0,892,-1.00,3.25
0,922,-1.00,3.33
0,1378,-1.00,3.74
806,0,5.06,-1.00
1056,0,4.49,-1.00
0,1561,-1.00,3.76
0,920,-1.00,4.24
0,1423,-1.00,3.25
0,948,-1.00,2.50
0,1094,-1.00,4.09
925,0,3.56,-1.00
915,0,4.36,-1.00
0,870,-1.00,3.41
0,986,-1.00,3.76
0,1055,-1.00,2.89
0,1494,-1.00,3.73
1344,0,4.55,-1.00
1085,0,5.27,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
0,1503,-1.00,3.37
1099,0,4.36,-1.00
885,0,6.82,-1.00
0,1251,-1.00,1.81
0,1357,-1.00,3.72
0,1452,-1.00,2.15
0,1195,-1.00,3.54
0,1139,-1.00,2.33
957,0,5.01,-1.00
0,1503,-1.00,4.10
794,0,5.28,-1.00
0,1215,-1.00,6.28
862,0,5.55,-1.00
925,0,5.17,-1.00
1018,0,5.40,-1.00
0,846,-1.00,3.48
0,886,-1.00,3.44
1110,0,4.32,-1.00
0,867,-1.00,3.92
0,1116,-1.00,3.00
952,0,4.29,-1.00
964,0,3.75,-1.00
847,0,5.21,-1.00
893,0,4.69,-1.00
0,905,-1.00,3.30
1112,0,3.36,-1.00
0,1310,-1.00,2.98
0,1630,-1.00,3.20
0,1051,-1.00,4.01
0,1060,-1.00,3.22
0,885,-1.00,3.00
0,1578,-1.00,1.79
0,837,-1.00,3.91
912,0,3.76,-1.00
0,1424,-1.00,1.96
964,0,5.30,-1.00
0,800,-1.00,4.48
0,810,-1.00,3.60
1179,0,6.02,-1.00
1151,0,4.92,-1.00
0,1267,-1.00,3.19
0,987,-1.00,2.91
0,0,-1.00,-1.00
0,1297,-1.00,4.31
0,0,-1.00,-1.00
0,822,-1.00,4.06
0,1454,-1.00,3.34
1076,0,4.27,-1.00
0,867,-1.00,4.03
971,0,5.52,-1.00
1082,0,5.59,-1.00
0,985,-1.00,4.43
770,0,7.02,-1.00
0,1475,-1.00,4.89
0,910,-1.00,4.69
0,1349,-1.00,3.61
1054,0,4.21,-1.00
1227,0,3.93,-1.00
0,1153,-1.00,3.91
0,1242,-1.00,3.00
865,0,3.98,-1.00
0,931,-1.00,3.01
0,905,-1.00,4.58
0,1240,-1.00,4.11
