pop1,pop2,k1,k2
894,0,1.04,-1.00
974,0,0.99,-1.00
897,0,0.99,-1.00
893,0,1.09,-1.00
0,977,-1.00,0.11
0,865,-1.00,1.21
921,0,1.10,-1.00
868,0,1.32,-1.00
961,0,1.07,-1.00
0,942,-1.00,0.29
0,858,-1.00,1.08
904,0,1.02,-1.00
0,1058,-1.00,-0.52
911,0,1.02,-1.00
0,1026,-1.00,-0.06
0,1071,-1.00,-0.49
610,193,1.50,1.38
0,982,-1.00,0.26
811,0,1.71,-1.00
900,0,1.26,-1.00
815,0,1.08,-1.00
11,1034,1.09,-0.33
4,1051,2.25,-0.03
0,963,-1.00,0.31
533,354,1.29,1.25
852,0,1.38,-1.00
0,885,-1.00,1.42
0,1007,-1.00,0.19
909,0,1.06,-1.00
847,0,1.24,-1.00
892,0,1.30,-1.00
415,456,1.24,1.68
0,979,-1.00,-0.03
0,904,-1.00,1.27
0,984,-1.00,0.08
0,884,-1.00,0.94
0,1033,-1.00,-0.42
859,0,1.26,-1.00
0,972,-1.00,0.20
821,39,1.31,0.95
0,1008,-1.00,0.16
829,0,1.14,-1.00
0,957,-1.00,0.28
922,0,1.20,-1.00
849,0,1.48,-1.00
903,0,1.35,-1.00
874,0,1.35,-1.00
891,0,1.01,-1.00
624,325,1.06,1.23
0,940,-1.00,0.80
0,1026,-1.00,0.01
0,916,-1.00,1.46
816,0,1.51,-1.00
0,833,-1.00,1.33
0,880,-1.00,1.04
940,0,1.08,-1.00
0,955,-1.00,0.44
0,889,-1.00,1.05
863,0,1.55,-1.00
919,0,1.30,-1.00
920,0,1.46,-1.00
891,0,1.14,-1.00
0,912,-1.00,1.08
0,1089,-1.00,-0.76
0,1075,-1.00,-0.25
852,0,1.18,-1.00
0,1107,-1.00,-0.54
0,1053,-1.00,0.14
357,457,1.34,0.87
0,1009,-1.00,0.29
145,775,1.16,0.32
0,973,-1.00,0.17
0,1110,-1.00,-0.52
877,0,1.39,-1.00
0,1004,-1.00,0.08
0,1048,-1.00,0.20
0,1016,-1.00,0.24
851,0,1.28,-1.00
0,989,-1.00,0.55
950,0,1.06,-1.00
825,0,1.23,-1.00
0,993,-1.00,0.45
0,1017,-1.00,-0.30
823,0,1.32,-1.00
0,892,-1.00,1.01
920,0,0.93,-1.00
24,847,1.88,1.49
886,0,1.34,-1.00
103,768,1.72,1.27
895,0,1.26,-1.00
870,0,1.36,-1.00
853,0,1.11,-1.00
0,925,-1.00,0.30
923,0,1.36,-1.00
874,0,1.07,-1.00
0,918,-1.00,1.14
887,0,1.27,-1.00
522,381,1.29,1.20
923,0,1.03,-1.00
911,0,1.20,-1.00
