pop1,pop2,k1,k2
0,875,-1.00,3.65
889,0,3.49,-1.00
1496,0,3.34,-1.00
1111,0,4.27,-1.00
940,0,3.28,-1.00
0,1140,-1.00,2.30
1101,0,3.46,-1.00
825,0,4.76,-1.00
1476,0,3.44,-1.00
0,1020,-1.00,3.18
1130,0,4.63,-1.00
1020,0,2.99,-1.00
1336,0,4.41,-1.00
913,0,3.03,-1.00
832,0,3.72,-1.00
0,0,-1.00,-1.00
0,1015,-1.00,2.78
0,1037,-1.00,3.53
1103,0,2.96,-1.00
0,0,-1.00,-1.00
929,0,3.32,-1.00
1080,0,3.80,-1.00
969,0,3.70,-1.00
1040,0,5.00,-1.00
938,0,3.99,-1.00
1009,0,3.70,-1.00
0,0,-1.00,-1.00
982,0,3.29,-1.00
1163,0,3.35,-1.00
0,0,-1.00,-1.00
0,0,-1.00,-1.00
1435,0,3.89,-1.00
802,0,4.29,-1.00
1440,0,3.26,-1.00
902,0,5.21,-1.00
954,0,4.18,-1.00
844,0,3.27,-1.00
1236,0,3.35,-1.00
0,0,-1.00,-1.00
0,1165,-1.00,3.49
0,1421,-1.00,3.40
1072,0,3.50,-1.00
894,0,3.44,-1.00
1623,0,4.17,-1.00
1623,0,4.04,-1.00
1489,0,2.70,-1.00
1053,0,3.24,-1.00
1049,0,4.62,-1.00
0,1519,-1.00,4.49
0,802,-1.00,3.38
893,0,3.37,-1.00
946,0,3.10,-1.00
1586,0,4.04,-1.00
805,0,4.67,-1.00
0,1267,-1.00,2.61
871,0,4.89,-1.00
851,0,3.78,-1.00
1143,0,3.98,-1.00
1479,0,4.96,-1.00
1116,0,4.26,-1.00
0,0,-1.00,-1.00
0,933,-1.00,2.68
1418,0,4.76,-1.00
1173,0,5.11,-1.00
0,1291,-1.00,2.39
1350,0,3.66,-1.00
1101,0,4.03,-1.00
1183,0,4.05,-1.00
1168,0,4.20,-1.00
0,1419,-1.00,2.67
852,0,3.48,-1.00
1207,0,3.45,-1.00
1210,0,3.39,-1.00
0,1557,-1.00,3.64
0,1310,-1.00,3.37
1632,0,3.77,-1.00
897,0,4.20,-1.00
1150,0,3.39,-1.00
984,0,2.93,-1.00
0,1345,-1.00,3.59
0,1369,-1.00,2.77
1250,0,3.54,-1.00
974,0,4.22,-1.00
1222,0,5.27,-1.00
856,0,3.87,-1.00
919,0,3.75,-1.00
841,0,4.29,-1.00
1420,0,3.91,-1.00
0,953,-1.00,4.08
0,0,-1.00,-1.00
0,1120,-1.00,2.70
0,1070,-1.00,2.52
1103,0,4.28,-1.00
0,1189,-1.00,2.63
1200,0,3.26,-1.00
1017,0,4.06,-1.00
0,1124,-1.00,2.10
0,1018,-1.00,1.58
0,1042,-1.00,3.96
0,0,-1.00,-1.00
