pop1,pop2,k1,k2
794,23,1.49,1.26
873,0,1.32,-1.00
0,877,-1.00,1.18
0,854,-1.00,1.17
0,906,-1.00,1.07
0,854,-1.00,1.22
909,0,1.33,-1.00
877,0,1.17,-1.00
0,939,-1.00,1.06
0,901,-1.00,1.23
0,822,-1.00,1.43
775,77,1.17,1.38
0,881,-1.00,1.02
341,490,1.45,1.17
977,0,1.14,-1.00
0,809,-1.00,1.34
902,0,1.00,-1.00
0,813,-1.00,1.19
0,891,-1.00,1.21
0,871,-1.00,1.22
0,879,-1.00,1.46
0,930,-1.00,1.19
0,904,-1.00,1.20
0,900,-1.00,1.24
0,842,-1.00,1.24
875,0,1.19,-1.00
159,717,1.69,1.14
923,0,1.15,-1.00
895,0,1.33,-1.00
27,872,1.85,1.20
0,848,-1.00,1.50
0,903,-1.00,1.15
856,36,1.20,1.44
0,884,-1.00,1.14
0,897,-1.00,1.08
0,807,-1.00,1.39
0,853,-1.00,1.22
0,872,-1.00,1.30
0,941,-1.00,1.08
0,829,-1.00,1.26
0,831,-1.00,1.57
839,0,1.03,-1.00
0,943,-1.00,0.93
0,919,-1.00,1.02
0,938,-1.00,1.15
0,849,-1.00,1.55
0,870,-1.00,1.12
0,822,-1.00,1.43
0,873,-1.00,1.14
0,925,-1.00,1.05
830,64,1.05,1.22
0,822,-1.00,1.27
857,6,1.16,1.50
0,830,-1.00,1.00
592,276,1.61,1.55
7,821,3.57,1.22
0,930,-1.00,1.07
857,0,1.15,-1.00
848,0,1.45,-1.00
848,0,1.26,-1.00
0,871,-1.00,1.30
894,0,1.07,-1.00
0,868,-1.00,1.07
124,755,1.29,1.27
901,0,0.91,-1.00
135,756,1.64,1.02
0,922,-1.00,1.27
888,0,1.17,-1.00
829,0,1.29,-1.00
900,0,1.40,-1.00
443,432,1.45,1.36
916,0,1.18,-1.00
0,931,-1.00,1.34
0,916,-1.00,1.36
60,813,1.78,1.20
24,841,0.92,1.20
833,0,1.36,-1.00
908,0,1.32,-1.00
0,916,-1.00,1.22
0,818,-1.00,1.46
0,828,-1.00,1.05
881,0,1.00,-1.00
898,0,1.11,-1.00
832,0,1.63,-1.00
0,860,-1.00,1.08
884,0,1.12,-1.00
376,458,1.63,1.46
823,0,1.31,-1.00
0,888,-1.00,0.96
857,0,0.96,-1.00
0,889,-1.00,0.99
0,887,-1.00,1.06
0,905,-1.00,1.05
0,877,-1.00,1.18
0,847,-1.00,1.34
942,0,1.36,-1.00
872,0,1.06,-1.00
0,857,-1.00,1.33
458,500,1.22,1.30
0,826,-1.00,1.25
