gen,pop1,pop2,k1,k2
1,500,500,0.00,0.00
1,470,468,0.18,0.24
2,474,484,0.48,0.47
3,476,509,0.61,0.69
4,466,514,0.77,0.77
5,420,493,0.87,0.91
6,389,504,1.04,1.02
7,409,514,1.08,1.21
8,395,502,1.19,1.31
9,395,470,1.29,1.39
10,413,482,1.34,1.46
