rep,pop1,pop2,k1,k2
1,273,279,5.19,4.51
2,494,0,5.73,-1.00
3,0,581,-1.00,4.66
4,3,600,7.00,4.10
5,0,690,-1.00,3.45
6,438,20,6.03,8.95
7,0,614,-1.00,4.15
8,599,0,4.48,-1.00
9,305,222,6.19,3.61
10,0,541,-1.00,4.28
