pop1,pop2,k1,k2
437,529,0.00,0.00
991,0,0.00,-1.00
1042,0,0.00,-1.00
515,518,0.00,0.00
106,922,0.00,0.00
325,673,0.00,0.00
340,679,0.00,0.00
1016,0,0.00,-1.00
147,878,0.00,0.00
532,478,0.00,0.00
408,606,0.00,0.00
1007,27,0.00,0.00
929,47,0.00,0.00
927,107,0.00,0.00
302,646,0.00,0.00
925,0,0.00,-1.00
988,36,0.00,0.00
512,512,0.00,0.00
340,624,0.00,0.00
244,768,0.00,0.00
954,11,0.00,0.00
455,586,0.00,0.00
852,196,0.00,0.00
674,236,0.00,0.00
349,627,0.00,0.00
212,746,0.00,0.00
936,27,0.00,0.00
473,502,0.00,0.00
911,103,0.00,0.00
6,995,0.00,0.00
83,971,0.00,0.00
163,846,0.00,0.00
411,497,0.00,0.00
952,0,0.00,-1.00
586,384,0.00,0.00
955,0,0.00,-1.00
542,521,0.00,0.00
664,334,0.00,0.00
0,922,-1.00,0.00
544,428,0.00,0.00
474,464,0.00,0.00
218,801,0.00,0.00
509,481,0.00,0.00
348,628,0.00,0.00
435,549,0.00,0.00
213,851,0.00,0.00
954,141,0.00,0.00
879,147,0.00,0.00
404,614,0.00,0.00
788,187,0.00,0.00
0,1019,-1.00,0.00
1039,0,0.00,-1.00
688,310,0.00,0.00
394,591,0.00,0.00
500,439,0.00,0.00
673,306,0.00,0.00
412,577,0.00,0.00
138,919,0.00,0.00
959,57,0.00,0.00
732,212,0.00,0.00
572,424,0.00,0.00
671,319,0.00,0.00
598,449,0.00,0.00
705,289,0.00,0.00
654,340,0.00,0.00
508,430,0.00,0.00
560,436,0.00,0.00
585,401,0.00,0.00
132,872,0.00,0.00
260,726,0.00,0.00
471,469,0.00,0.00
401,557,0.00,0.00
0,957,-1.00,0.00
653,392,0.00,0.00
545,470,0.00,0.00
848,73,0.00,0.00
390,611,0.00,0.00
820,271,0.00,0.00
858,167,0.00,0.00
262,746,0.00,0.00
193,827,0.00,0.00
332,632,0.00,0.00
114,861,0.00,0.00
379,639,0.00,0.00
0,985,-1.00,0.00
987,0,0.00,-1.00
540,489,0.00,0.00
658,362,0.00,0.00
641,320,0.00,0.00
321,648,0.00,0.00
602,391,0.00,0.00
329,653,0.00,0.00
44,1017,0.00,0.00
737,259,0.00,0.00
633,366,0.00,0.00
955,71,0.00,0.00
704,333,0.00,0.00
817,182,0.00,0.00
190,788,0.00,0.00
612,390,0.00,0.00
