gen,pop1,pop2,k1,k2
216,442,0,6.28,-1.00
217,448,0,6.28,-1.00
218,498,0,6.13,-1.00
219,477,0,6.18,-1.00
220,486,0,6.09,-1.00
221,477,0,6.02,-1.00
222,442,0,6.04,-1.00
223,451,0,5.98,-1.00
224,480,0,5.93,-1.00
225,473,0,5.92,-1.00
226,480,0,6.04,-1.00
227,473,0,5.91,-1.00
228,507,0,5.78,-1.00
229,527,0,5.87,-1.00
230,493,0,5.84,-1.00
231,490,0,5.82,-1.00
232,481,0,5.93,-1.00
233,451,0,5.89,-1.00
234,458,0,5.89,-1.00
235,481,0,5.91,-1.00
236,462,0,5.93,-1.00
237,515,0,5.97,-1.00
238,490,0,6.00,-1.00
239,529,0,6.14,-1.00
240,507,0,6.17,-1.00
241,474,0,6.38,-1.00
242,458,0,6.41,-1.00
243,494,0,6.35,-1.00
244,512,0,6.40,-1.00
245,459,0,6.49,-1.00
246,448,0,6.48,-1.00
247,452,0,6.39,-1.00
248,426,0,6.49,-1.00
249,441,0,6.34,-1.00
250,433,0,6.42,-1.00
251,447,0,6.42,-1.00
252,412,0,6.41,-1.00
253,428,0,6.41,-1.00
254,453,0,6.32,-1.00
255,463,0,6.17,-1.00
256,496,0,6.22,-1.00
257,464,0,6.12,-1.00
258,435,0,6.08,-1.00
259,474,0,6.12,-1.00
260,479,0,6.15,-1.00
261,427,0,6.19,-1.00
262,437,0,6.12,-1.00
263,396,0,6.33,-1.00
264,400,0,6.31,-1.00
265,422,0,6.49,-1.00
266,411,0,6.56,-1.00
267,392,0,6.69,-1.00
268,409,0,6.79,-1.00
269,416,0,6.76,-1.00
270,392,0,6.72,-1.00
271,382,0,6.80,-1.00
272,376,0,6.69,-1.00
273,398,0,6.72,-1.00
274,411,0,6.95,-1.00
275,422,0,7.13,-1.00
276,447,0,7.16,-1.00
277,471,0,7.21,-1.00
278,464,0,7.22,-1.00
279,456,0,7.12,-1.00
280,432,0,7.24,-1.00
281,424,0,7.21,-1.00
282,386,0,7.33,-1.00
283,360,0,7.26,-1.00
284,376,0,7.28,-1.00
285,367,0,7.39,-1.00
286,348,0,7.35,-1.00
287,346,0,7.22,-1.00
288,353,0,7.23,-1.00
289,345,0,7.29,-1.00
290,342,0,7.30,-1.00
291,348,0,7.43,-1.00
292,374,0,7.38,-1.00
293,387,0,7.46,-1.00
294,411,0,7.49,-1.00
295,397,0,7.51,-1.00
296,381,0,7.64,-1.00
297,377,0,7.72,-1.00
298,376,0,7.62,-1.00
299,361,0,7.76,-1.00
300,356,0,7.83,-1.00
301,340,0,8.06,-1.00
302,326,0,8.10,-1.00
303,297,0,8.25,-1.00
304,287,0,8.48,-1.00
305,277,0,8.42,-1.00
306,231,0,8.53,-1.00
307,245,0,8.67,-1.00
308,269,0,8.80,-1.00
309,282,0,8.85,-1.00
310,290,0,8.95,-1.00
311,277,0,9.00,-1.00
312,253,0,8.98,-1.00
313,259,0,9.11,-1.00
314,276,0,9.22,-1.00
315,259,0,9.41,-1.00
316,244,0,9.55,-1.00
317,239,0,9.54,-1.00
318,223,0,9.37,-1.00
319,222,0,9.38,-1.00
320,217,0,9.43,-1.00
321,231,0,9.38,-1.00
322,212,0,9.31,-1.00
323,218,0,9.29,-1.00
324,203,0,9.33,-1.00
325,226,0,9.43,-1.00
326,206,0,9.44,-1.00
327,177,0,9.40,-1.00
328,186,0,9.55,-1.00
329,205,0,9.38,-1.00
330,209,0,9.35,-1.00
331,181,0,9.35,-1.00
332,166,0,9.50,-1.00
333,170,0,9.44,-1.00
334,159,0,9.47,-1.00
335,167,0,9.44,-1.00
336,179,0,9.28,-1.00
337,193,0,9.25,-1.00
338,205,0,9.13,-1.00
