pop1,pop2,k1,k2
0,848,-1.00,1.51
0,884,-1.00,1.72
0,761,-1.00,2.03
257,580,2.24,1.47
0,933,-1.00,0.21
897,0,1.70,-1.00
0,860,-1.00,0.81
0,888,-1.00,1.62
0,856,-1.00,1.58
832,0,1.74,-1.00
0,947,-1.00,1.18
812,0,2.01,-1.00
0,870,-1.00,1.57
0,900,-1.00,0.51
0,920,-1.00,0.85
0,790,-1.00,1.93
749,0,1.85,-1.00
0,853,-1.00,0.68
309,491,1.99,1.94
0,878,-1.00,1.23
0,854,-1.00,1.81
0,974,-1.00,0.87
765,0,2.04,-1.00
837,0,1.46,-1.00
0,902,-1.00,1.06
869,0,1.48,-1.00
0,917,-1.00,0.85
0,907,-1.00,1.36
798,0,2.51,-1.00
0,824,-1.00,1.73
0,795,-1.00,1.87
0,854,-1.00,1.88
0,802,-1.00,1.66
867,0,1.47,-1.00
0,913,-1.00,0.85
0,949,-1.00,0.94
0,766,-1.00,2.06
0,839,-1.00,1.62
767,0,1.70,-1.00
823,0,1.76,-1.00
0,981,-1.00,0.13
0,873,-1.00,1.42
0,733,-1.00,1.92
756,0,1.81,-1.00
768,0,2.63,-1.00
0,899,-1.00,0.74
0,948,-1.00,0.92
0,852,-1.00,1.68
817,0,2.01,-1.00
0,817,-1.00,1.85
0,835,-1.00,0.99
0,816,-1.00,1.85
0,864,-1.00,1.42
806,0,1.83,-1.00
850,0,2.16,-1.00
0,930,-1.00,0.56
0,970,-1.00,1.04
0,900,-1.00,0.60
0,940,-1.00,0.56
0,908,-1.00,1.37
0,992,-1.00,-0.27
0,830,-1.00,1.93
873,0,1.75,-1.00
878,0,1.64,-1.00
0,919,-1.00,0.83
0,863,-1.00,1.44
0,906,-1.00,0.66
0,798,-1.00,1.93
0,893,-1.00,1.10
0,948,-1.00,1.16
0,811,-1.00,1.58
0,923,-1.00,0.95
0,818,-1.00,1.68
799,0,1.94,-1.00
0,909,-1.00,1.60
0,908,-1.00,0.77
0,841,-1.00,1.68
0,943,-1.00,0.74
807,0,1.91,-1.00
0,889,-1.00,1.57
0,823,-1.00,1.57
0,828,-1.00,1.81
0,877,-1.00,0.77
0,913,-1.00,0.72
0,889,-1.00,1.09
0,839,-1.00,1.71
784,0,2.25,-1.00
0,853,-1.00,0.96
0,886,-1.00,0.92
853,0,1.72,-1.00
0,924,-1.00,0.80
0,930,-1.00,0.72
873,0,1.81,-1.00
0,919,-1.00,0.93
0,1013,-1.00,-0.15
0,792,-1.00,1.30
0,921,-1.00,0.89
0,919,-1.00,0.66
0,933,-1.00,1.02
0,967,-1.00,0.69
