rep,t,pop1,pop2,k1,k2
1,1,0,965,-1.00,0.14
1,2,0,977,-1.00,0.30
1,3,0,971,-1.00,0.38
1,4,0,943,-1.00,0.51
1,5,0,885,-1.00,0.64
1,6,0,895,-1.00,0.78
1,7,0,922,-1.00,0.87
1,8,0,946,-1.00,0.92
1,9,0,946,-1.00,1.06
1,10,0,951,-1.00,1.24
1,11,0,922,-1.00,1.36
1,12,0,886,-1.00,1.44
1,13,0,836,-1.00,1.57
1,14,0,804,-1.00,1.66
1,15,0,809,-1.00,1.71
1,16,0,821,-1.00,1.80
1,17,0,834,-1.00,1.88
1,18,0,772,-1.00,1.87
1,19,0,770,-1.00,1.87
1,20,0,761,-1.00,1.94
1,21,0,754,-1.00,1.99
1,22,0,762,-1.00,2.08
1,23,0,789,-1.00,2.17
1,24,0,810,-1.00,2.29
1,25,0,800,-1.00,2.30
1,26,0,737,-1.00,2.34
1,27,0,763,-1.00,2.29
1,28,0,723,-1.00,2.41
1,29,0,733,-1.00,2.39
1,30,0,754,-1.00,2.55
1,31,0,736,-1.00,2.60
1,32,0,756,-1.00,2.66
1,33,0,750,-1.00,2.75
1,34,0,815,-1.00,2.75
1,35,0,751,-1.00,2.75
1,36,0,779,-1.00,2.75
1,37,0,743,-1.00,2.83
1,38,0,735,-1.00,2.79
1,39,0,779,-1.00,2.75
1,40,0,774,-1.00,2.79
1,41,0,813,-1.00,2.81
1,42,0,800,-1.00,2.76
1,43,0,795,-1.00,2.83
1,44,0,740,-1.00,2.81
1,45,0,716,-1.00,2.93
1,46,0,743,-1.00,2.79
1,47,0,768,-1.00,2.80
1,48,0,756,-1.00,2.84
1,49,0,769,-1.00,2.89
1,50,0,711,-1.00,2.95
1,51,0,723,-1.00,3.01
1,52,0,731,-1.00,2.98
1,53,0,684,-1.00,3.00
1,54,0,731,-1.00,2.94
1,55,0,736,-1.00,2.97
1,56,0,704,-1.00,2.91
1,57,0,720,-1.00,2.90
1,58,0,684,-1.00,3.00
1,59,0,700,-1.00,3.03
1,60,0,729,-1.00,2.98
1,61,0,688,-1.00,2.93
1,62,0,688,-1.00,2.90
1,63,0,707,-1.00,2.95
1,64,0,684,-1.00,3.01
1,65,0,688,-1.00,3.00
1,66,0,627,-1.00,2.97
1,67,0,678,-1.00,2.96
1,68,0,659,-1.00,2.91
1,69,0,706,-1.00,2.86
1,70,0,688,-1.00,2.90
1,71,0,693,-1.00,2.84
1,72,0,708,-1.00,2.83
1,73,0,729,-1.00,2.90
1,74,0,695,-1.00,2.95
1,75,0,677,-1.00,2.98
1,76,0,723,-1.00,2.95
1,77,0,753,-1.00,3.00
1,78,0,764,-1.00,2.91
1,79,0,739,-1.00,2.88
1,80,0,782,-1.00,2.89
1,81,0,791,-1.00,2.98
1,82,0,768,-1.00,2.96
1,83,0,773,-1.00,2.90
1,84,0,754,-1.00,2.90
1,85,0,744,-1.00,2.79
1,86,0,705,-1.00,2.80
1,87,0,725,-1.00,2.72
1,88,0,735,-1.00,2.69
1,89,0,757,-1.00,2.70
1,90,0,770,-1.00,2.60
1,91,0,752,-1.00,2.48
1,92,0,788,-1.00,2.43
1,93,0,804,-1.00,2.34
1,94,0,766,-1.00,2.37
1,95,0,743,-1.00,2.52
1,96,0,684,-1.00,2.42
1,97,0,727,-1.00,2.45
1,98,0,747,-1.00,2.51
1,99,0,723,-1.00,2.57
1,100,0,705,-1.00,2.58
