rep,t,pop1,pop2,k1,k2
1,1,0,962,-1.00,0.14
1,2,0,970,-1.00,0.26
1,3,0,934,-1.00,0.37
1,4,0,932,-1.00,0.50
1,5,0,946,-1.00,0.60
1,6,0,919,-1.00,0.74
1,7,0,953,-1.00,0.78
1,8,0,903,-1.00,0.89
1,9,0,881,-1.00,0.99
1,10,0,862,-1.00,1.15
1,11,0,878,-1.00,1.21
1,12,0,843,-1.00,1.23
1,13,0,848,-1.00,1.28
1,14,0,828,-1.00,1.38
1,15,0,897,-1.00,1.44
1,16,0,855,-1.00,1.52
1,17,0,878,-1.00,1.63
1,18,0,855,-1.00,1.68
1,19,0,872,-1.00,1.75
1,20,0,914,-1.00,1.78
1,21,0,878,-1.00,1.86
1,22,0,829,-1.00,1.92
1,23,0,846,-1.00,1.96
1,24,0,879,-1.00,2.03
1,25,0,859,-1.00,2.16
1,26,0,791,-1.00,2.26
1,27,0,774,-1.00,2.24
1,28,0,769,-1.00,2.35
1,29,0,760,-1.00,2.39
1,30,0,720,-1.00,2.37
1,31,0,753,-1.00,2.39
1,32,0,706,-1.00,2.49
1,33,0,691,-1.00,2.47
1,34,0,718,-1.00,2.45
1,35,0,751,-1.00,2.52
1,36,0,682,-1.00,2.58
1,37,0,745,-1.00,2.49
1,38,0,722,-1.00,2.54
1,39,0,735,-1.00,2.64
1,40,0,763,-1.00,2.66
1,41,0,776,-1.00,2.71
1,42,0,720,-1.00,2.79
1,43,0,718,-1.00,2.84
1,44,0,738,-1.00,2.89
1,45,0,710,-1.00,2.90
1,46,0,675,-1.00,2.94
1,47,0,733,-1.00,2.93
1,48,0,736,-1.00,2.96
1,49,0,677,-1.00,2.92
1,50,0,681,-1.00,2.90
1,51,0,641,-1.00,2.89
1,52,0,619,-1.00,2.94
1,53,0,637,-1.00,2.92
1,54,0,678,-1.00,2.96
1,55,0,698,-1.00,2.97
1,56,0,683,-1.00,3.01
1,57,0,701,-1.00,3.03
1,58,0,703,-1.00,2.94
1,59,0,723,-1.00,3.01
1,60,0,681,-1.00,3.03
1,61,0,729,-1.00,2.91
1,62,0,722,-1.00,3.14
1,63,0,749,-1.00,3.05
1,64,0,760,-1.00,3.12
1,65,0,743,-1.00,3.09
1,66,0,740,-1.00,3.19
1,67,0,745,-1.00,3.14
1,68,0,763,-1.00,3.07
1,69,0,716,-1.00,3.13
1,70,0,711,-1.00,3.01
1,71,0,745,-1.00,3.07
1,72,0,767,-1.00,3.04
1,73,0,709,-1.00,2.94
1,74,0,678,-1.00,2.93
1,75,0,716,-1.00,2.89
1,76,0,724,-1.00,2.87
1,77,0,700,-1.00,2.77
1,78,0,748,-1.00,2.70
1,79,0,717,-1.00,2.69
1,80,0,750,-1.00,2.72
1,81,0,689,-1.00,2.66
1,82,0,701,-1.00,2.67
1,83,0,720,-1.00,2.74
1,84,0,699,-1.00,2.74
1,85,0,706,-1.00,2.69
1,86,0,767,-1.00,2.75
1,87,0,713,-1.00,2.79
1,88,0,707,-1.00,2.76
1,89,0,727,-1.00,2.76
1,90,0,726,-1.00,2.87
1,91,0,733,-1.00,2.88
1,92,0,698,-1.00,2.88
1,93,0,715,-1.00,2.93
1,94,0,735,-1.00,2.89
1,95,0,752,-1.00,2.85
1,96,0,722,-1.00,2.76
1,97,0,729,-1.00,2.82
1,98,0,680,-1.00,2.77
1,99,0,713,-1.00,2.78
1,100,0,712,-1.00,2.77
