rep,t,pop1,pop2,k1,k2
1,1,0,945,-1.00,0.16
1,2,0,1012,-1.00,0.27
1,3,0,995,-1.00,0.40
1,4,0,880,-1.00,0.51
1,5,0,904,-1.00,0.63
1,6,0,866,-1.00,0.67
1,7,0,827,-1.00,0.79
1,8,0,931,-1.00,0.91
1,9,0,867,-1.00,0.96
1,10,0,853,-1.00,1.06
1,11,0,840,-1.00,1.16
1,12,0,888,-1.00,1.25
1,13,0,913,-1.00,1.33
1,14,0,900,-1.00,1.39
1,15,0,897,-1.00,1.47
1,16,0,888,-1.00,1.56
1,17,0,852,-1.00,1.60
1,18,0,804,-1.00,1.62
1,19,0,821,-1.00,1.63
1,20,0,816,-1.00,1.68
1,21,0,861,-1.00,1.73
1,22,0,838,-1.00,1.70
1,23,0,849,-1.00,1.77
1,24,0,853,-1.00,1.88
1,25,0,828,-1.00,1.92
1,26,0,844,-1.00,1.91
1,27,0,845,-1.00,1.99
1,28,0,810,-1.00,2.04
1,29,0,774,-1.00,2.10
1,30,0,769,-1.00,2.16
1,31,0,755,-1.00,2.15
1,32,0,701,-1.00,2.17
1,33,0,745,-1.00,2.19
1,34,0,748,-1.00,2.09
1,35,0,752,-1.00,2.12
1,36,0,774,-1.00,2.17
1,37,0,768,-1.00,2.21
1,38,0,750,-1.00,2.33
1,39,0,757,-1.00,2.33
1,40,0,792,-1.00,2.42
1,41,0,847,-1.00,2.45
1,42,0,836,-1.00,2.51
1,43,0,763,-1.00,2.57
1,44,0,740,-1.00,2.52
1,45,0,738,-1.00,2.62
1,46,0,763,-1.00,2.66
1,47,0,777,-1.00,2.77
1,48,0,746,-1.00,2.75
1,49,0,754,-1.00,2.77
1,50,0,769,-1.00,2.85
1,51,0,763,-1.00,2.98
1,52,0,731,-1.00,2.87
1,53,0,703,-1.00,2.86
1,54,0,672,-1.00,2.91
1,55,0,688,-1.00,2.87
1,56,0,628,-1.00,2.82
1,57,0,663,-1.00,2.81
1,58,0,654,-1.00,2.77
1,59,0,690,-1.00,2.86
1,60,0,703,-1.00,2.89
1,61,0,671,-1.00,2.92
1,62,0,673,-1.00,2.94
1,63,0,663,-1.00,2.75
1,64,0,712,-1.00,2.78
1,65,0,740,-1.00,2.68
1,66,0,742,-1.00,2.70
1,67,0,709,-1.00,2.58
1,68,0,730,-1.00,2.60
1,69,0,744,-1.00,2.55
1,70,0,700,-1.00,2.55
1,71,0,694,-1.00,2.49
1,72,0,708,-1.00,2.56
1,73,0,736,-1.00,2.66
1,74,0,750,-1.00,2.68
1,75,0,761,-1.00,2.67
1,76,0,782,-1.00,2.77
1,77,0,735,-1.00,2.80
1,78,0,764,-1.00,2.81
1,79,0,767,-1.00,2.87
1,80,0,739,-1.00,2.87
1,81,0,717,-1.00,2.86
1,82,0,689,-1.00,2.84
1,83,0,752,-1.00,2.90
1,84,0,733,-1.00,2.81
1,85,0,689,-1.00,2.82
1,86,0,726,-1.00,2.90
1,87,0,693,-1.00,2.99
1,88,0,658,-1.00,3.04
1,89,0,654,-1.00,3.00
1,90,0,718,-1.00,2.93
1,91,0,674,-1.00,2.87
1,92,0,720,-1.00,2.83
1,93,0,746,-1.00,2.69
1,94,0,733,-1.00,2.62
1,95,0,724,-1.00,2.64
1,96,0,754,-1.00,2.59
1,97,0,726,-1.00,2.59
1,98,0,713,-1.00,2.66
1,99,0,714,-1.00,2.61
1,100,0,724,-1.00,2.73
